,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,Saddiq Bey,SF,23,ATL,4,2,24.8,3.3,7.0,0.464,2.5,4.3,0.588,0.8,2.8,0.273,0.643,0.8,0.8,1.0,1.3,3.3,4.5,0.5,0.5,0.3,1.0,1.3,9.8
1,Bogdan Bogdanovic ,SG,30,ATL,36,5,29.6,5.4,12.3,0.437,2.8,7.1,0.394,2.6,5.3,0.495,0.55,1.1,1.4,0.78,0.4,3.0,3.4,3.0,0.9,0.3,1.3,1.7,14.6
2,Clint Capela,C,28,ATL,45,43,26.6,5.4,8.7,0.624,0.0,0.0,0.0,5.4,8.7,0.626,0.624,1.1,1.9,0.593,4.2,7.0,11.2,0.8,0.7,1.2,0.8,2.2,12.0
3,John Collins,PF,25,ATL,51,51,31.0,5.2,10.2,0.508,0.8,3.2,0.256,4.4,7.0,0.624,0.548,2.0,2.5,0.813,1.1,5.9,7.0,1.2,0.7,1.2,1.2,3.2,13.2
4,Jarrett Culver,SG,23,ATL,10,1,13.7,1.7,4.3,0.395,0.1,1.2,0.083,1.6,3.1,0.516,0.407,0.9,1.3,0.692,1.0,2.8,3.8,0.6,0.6,0.2,0.7,1.4,4.4
5,Bruno Fernando,C,24,ATL,2,0,3.0,1.0,1.5,0.667,0.0,0.0,,1.0,1.5,0.667,0.667,0.0,0.0,,0.5,0.5,1.0,0.5,0.0,0.0,1.0,0.5,2.0
6,Trent Forrest,PG,24,ATL,18,3,13.3,1.3,2.8,0.48,0.0,0.1,0.0,1.3,2.7,0.5,0.48,0.1,0.2,0.667,0.3,1.3,1.6,1.7,0.3,0.1,0.6,0.9,2.8
7,AJ Griffin,SF,19,ATL,57,11,20.2,3.6,7.6,0.475,1.5,3.7,0.392,2.2,3.9,0.554,0.57,0.5,0.6,0.875,0.5,1.6,2.1,1.0,0.7,0.1,0.6,1.2,9.2
8,Aaron Holiday,PG,26,ATL,51,5,14.3,1.5,3.7,0.415,0.6,1.5,0.413,0.9,2.2,0.416,0.497,0.5,0.5,0.857,0.4,0.9,1.3,1.3,0.5,0.2,0.6,1.3,4.1
9,Justin Holiday,SG,33,ATL,28,0,14.7,1.7,4.5,0.384,1.1,3.1,0.345,0.6,1.4,0.474,0.504,0.0,0.0,,0.1,0.8,0.8,0.9,0.2,0.4,0.4,1.3,4.5
10,De'Andre Hunter,SF,25,ATL,51,51,31.7,5.6,12.2,0.46,1.6,4.3,0.367,4.0,7.8,0.511,0.525,2.9,3.5,0.83,0.6,3.7,4.3,1.4,0.5,0.2,1.2,3.0,15.6
11,Jalen Johnson,SF,21,ATL,57,6,14.3,2.0,4.2,0.479,0.4,1.4,0.284,1.6,2.8,0.579,0.527,0.7,1.1,0.661,0.7,3.1,3.8,0.9,0.5,0.5,0.5,1.4,5.2
12,Frank Kaminsky,C,29,ATL,26,0,6.8,1.0,1.7,0.568,0.4,0.9,0.478,0.5,0.8,0.667,0.693,0.4,0.5,0.833,0.1,1.3,1.4,0.8,0.2,0.0,0.3,0.8,2.7
13,Vit Krejci,PG,22,ATL,22,0,5.5,0.5,1.3,0.379,0.2,0.8,0.278,0.3,0.5,0.545,0.466,0.0,0.1,0.5,0.1,0.5,0.6,0.5,0.1,0.0,0.2,0.5,1.3
365,Tyrese Martin,SG,23,ATL,13,0,3.5,0.5,1.2,0.375,0.1,0.4,0.2,0.4,0.8,0.455,0.406,0.2,0.2,1.0,0.2,0.3,0.5,0.0,0.1,0.0,0.1,0.2,1.2
368,Garrison Mathews,SG,26,ATL,2,0,3.0,0.5,0.5,1.0,0.5,0.5,1.0,0.0,0.0,,1.5,0.0,0.0,,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,1.5
405,Dejounte Murray,SG,26,ATL,56,56,36.4,8.4,18.1,0.467,2.1,5.6,0.367,6.4,12.4,0.512,0.524,2.0,2.4,0.837,0.7,4.8,5.5,6.1,1.5,0.3,2.3,1.4,20.9
434,Onyeka Okongwu,C,22,ATL,59,17,24.1,3.9,6.2,0.635,0.0,0.1,0.2,3.9,6.1,0.641,0.636,1.5,2.1,0.746,2.6,4.7,7.4,1.0,0.7,1.3,1.0,3.3,9.4
621,Trae Young,PG,24,ATL,54,54,35.3,8.5,19.8,0.429,2.2,6.6,0.327,6.3,13.1,0.481,0.484,7.9,8.9,0.889,0.7,2.2,2.9,10.2,1.1,0.1,4.1,1.5,27.0
