,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
23,Mikal Bridges,SF,26,BRK,5,5,32.6,7.8,15.2,0.513,2.4,5.0,0.48,5.4,10.2,0.529,0.592,4.4,4.8,0.917,1.4,4.6,6.0,2.8,1.2,1.0,1.8,2.0,22.4
24,Nic Claxton,C,23,BRK,56,56,29.4,5.5,7.6,0.715,0.0,0.0,0.0,5.5,7.6,0.718,0.715,1.7,3.3,0.511,2.5,6.5,9.0,1.7,0.8,2.6,1.3,2.8,12.6
25,Seth Curry,SG,32,BRK,42,6,22.4,3.9,8.2,0.468,1.8,4.3,0.423,2.0,3.9,0.518,0.579,0.8,0.8,0.971,0.3,1.6,1.9,2.0,0.6,0.2,1.0,1.8,10.4
26,Spencer Dinwiddie,PG,29,BRK,6,6,34.0,4.7,12.3,0.378,1.7,5.8,0.286,3.0,6.5,0.462,0.446,4.5,5.2,0.871,0.2,3.7,3.8,5.7,1.0,0.0,2.0,2.5,15.5
27,David Duke Jr.,SG,23,BRK,16,0,8.8,1.3,3.0,0.438,0.0,0.4,0.0,1.3,2.6,0.5,0.438,0.3,0.5,0.5,0.4,0.6,0.9,0.8,0.4,0.1,0.8,1.6,2.9
28,Kevin Durant,PF,34,BRK,39,39,36.0,10.5,18.8,0.559,1.8,4.8,0.376,8.7,14.0,0.622,0.607,6.8,7.3,0.934,0.4,6.4,6.7,5.3,0.8,1.5,3.5,2.4,29.7
29,Kessler Edwards,SF,22,BRK,14,1,5.6,0.4,1.7,0.25,0.1,0.9,0.167,0.3,0.9,0.333,0.292,0.1,0.1,0.5,0.4,0.6,1.0,0.1,0.2,0.1,0.3,0.2,1.1
30,Dorian Finney-Smith,PF,29,BRK,6,6,29.3,2.5,7.2,0.349,1.0,4.3,0.231,1.5,2.8,0.529,0.419,0.5,0.8,0.6,1.8,4.8,6.7,1.3,0.3,0.0,1.0,2.8,6.5
31,Joe Harris,SG,31,BRK,53,32,23.5,3.0,6.7,0.456,2.0,4.8,0.413,1.1,1.9,0.566,0.605,0.3,0.5,0.625,0.4,2.2,2.5,1.6,0.5,0.2,0.7,2.4,8.3
32,Kyrie Irving,PG,30,BRK,40,40,37.0,10.0,20.5,0.486,3.3,8.7,0.374,6.7,11.8,0.569,0.565,4.0,4.5,0.883,1.0,4.2,5.1,5.3,1.0,0.8,2.3,2.7,27.1
33,Cameron Johnson,PF,26,BRK,5,5,29.0,5.8,13.0,0.446,2.4,8.0,0.3,3.4,5.0,0.68,0.538,2.2,2.8,0.786,0.4,2.8,3.2,1.6,1.4,0.4,0.0,1.8,16.2
387,Patty Mills,PG,34,BRK,36,1,13.3,2.0,4.9,0.412,1.2,3.2,0.368,0.9,1.8,0.492,0.531,0.5,0.6,0.905,0.2,0.8,1.0,1.3,0.4,0.1,0.6,0.8,5.8
401,Markieff Morris,PF,33,BRK,27,1,10.6,1.2,3.0,0.402,0.7,1.8,0.408,0.5,1.2,0.394,0.524,0.4,0.4,1.0,0.5,1.7,2.2,0.9,0.3,0.2,0.5,1.2,3.6
431,Royce O'Neale,SF,29,BRK,57,52,33.0,3.1,7.9,0.395,2.2,5.5,0.402,0.9,2.4,0.38,0.535,0.6,0.8,0.739,0.6,4.1,4.7,3.8,0.8,0.7,1.6,3.1,9.1
516,Day'Ron Sharpe,C,21,BRK,33,2,10.4,1.7,3.1,0.545,0.1,0.2,0.667,1.5,2.9,0.537,0.564,0.5,0.8,0.593,1.7,2.2,3.8,0.8,0.2,0.5,0.9,1.9,3.9
520,Ben Simmons,PG,26,BRK,42,33,26.3,3.2,5.6,0.566,0.0,0.0,0.0,3.2,5.5,0.571,0.566,0.6,1.4,0.439,1.0,5.3,6.3,6.1,1.3,0.6,2.3,3.3,6.9
528,Dru Smith,SG,25,BRK,3,0,10.0,1.7,3.0,0.556,0.3,1.3,0.25,1.3,1.7,0.8,0.611,0.0,0.0,,0.0,2.0,2.0,1.7,1.3,0.0,0.3,1.0,3.7
538,Edmond Sumner,SG,27,BRK,46,12,14.5,2.5,5.3,0.459,0.6,1.8,0.346,1.8,3.6,0.515,0.516,1.9,2.1,0.926,0.2,1.3,1.6,1.4,0.7,0.2,1.0,1.7,7.4
548,Cam Thomas,SG,21,BRK,43,3,17.2,3.7,8.1,0.454,0.9,2.3,0.412,2.8,5.9,0.47,0.511,3.0,3.6,0.85,0.2,1.5,1.7,1.6,0.4,0.1,1.0,1.0,11.3
583,T.J. Warren,PF,29,BRK,26,0,18.8,3.9,7.7,0.51,0.6,1.8,0.333,3.3,5.8,0.566,0.55,1.0,1.3,0.818,0.5,2.3,2.8,1.1,0.6,0.3,0.7,1.7,9.5
588,Yuta Watanabe,SF,28,BRK,44,0,17.8,2.3,4.4,0.521,1.2,2.5,0.482,1.1,1.9,0.571,0.657,0.7,0.9,0.744,0.6,1.9,2.5,0.9,0.4,0.3,0.4,1.5,6.5
602,Alondes Williams,SG,23,BRK,1,0,5.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,1.0,1.0,0.0,0.0,0.0,2.0,1.0,0.0
