,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
46,LaMelo Ball,PG,21,CHO,36,36,35.2,8.2,20.0,0.411,4.0,10.6,0.376,4.2,9.4,0.45,0.51,2.8,3.4,0.836,1.2,5.3,6.4,8.4,1.3,0.3,3.6,3.3,23.3
47,James Bouknight,SG,22,CHO,26,0,13.6,1.5,4.7,0.328,0.6,2.5,0.25,0.9,2.2,0.414,0.393,0.6,0.8,0.682,0.2,1.8,2.0,1.1,0.5,0.2,0.7,1.1,4.3
48,Gordon Hayward,SF,32,CHO,37,37,31.3,5.5,11.6,0.472,1.0,3.2,0.319,4.4,8.4,0.531,0.516,2.6,3.2,0.817,0.7,3.7,4.4,3.7,0.9,0.2,1.9,1.4,14.6
49,Kai Jones,C,22,CHO,29,0,8.9,1.1,2.1,0.533,0.1,0.4,0.273,1.0,1.7,0.592,0.558,0.3,0.5,0.714,0.7,1.2,1.9,0.2,0.3,0.4,0.3,1.1,2.7
355,Theo Maledon,PG,21,CHO,36,1,16.1,1.8,4.4,0.414,0.6,1.8,0.333,1.2,2.6,0.468,0.481,1.4,1.6,0.875,0.3,2.1,2.4,2.4,0.8,0.2,1.0,1.0,5.6
363,Cody Martin,SF,27,CHO,7,0,19.1,2.0,5.1,0.389,0.4,2.0,0.214,1.6,3.1,0.5,0.431,0.6,1.0,0.571,1.1,2.3,3.4,1.6,0.6,0.1,0.3,1.9,5.0
377,Jalen McDaniels,SF,25,CHO,56,21,26.7,3.9,8.8,0.447,1.2,3.6,0.322,2.8,5.2,0.534,0.513,1.6,1.9,0.846,0.8,4.0,4.8,2.0,1.2,0.5,1.4,2.8,10.6
381,Bryce McGowens,SG,20,CHO,27,1,14.3,1.3,3.5,0.379,0.4,1.2,0.364,0.9,2.3,0.387,0.442,0.8,1.0,0.786,0.3,1.3,1.7,1.0,0.3,0.1,0.6,0.8,3.9
413,Svi Mykhailiuk,SF,25,CHO,2,0,15.5,2.5,6.5,0.385,1.0,3.0,0.333,1.5,3.5,0.429,0.462,0.0,0.5,0.0,0.5,0.5,1.0,0.5,0.0,0.0,1.0,1.0,6.0
441,Kelly Oubre Jr.,SF,27,CHO,38,30,31.9,7.3,17.2,0.423,2.2,7.1,0.31,5.1,10.0,0.504,0.488,2.9,4.0,0.73,1.4,3.7,5.1,1.1,1.5,0.3,1.3,3.0,19.7
448,Mason Plumlee,C,32,CHO,56,56,28.5,4.7,7.1,0.669,0.0,0.0,,4.7,7.1,0.669,0.669,2.8,4.6,0.605,3.3,6.3,9.7,3.7,0.6,0.6,1.6,2.9,12.2
481,Nick Richards,C,25,CHO,48,0,17.4,3.0,4.9,0.607,0.0,0.0,,3.0,4.9,0.607,0.607,2.1,2.8,0.733,2.4,3.4,5.8,0.5,0.2,1.0,0.8,2.3,8.0
497,Terry Rozier,SG,28,CHO,52,52,35.6,7.9,19.0,0.414,2.7,8.1,0.329,5.2,10.9,0.478,0.484,2.9,3.6,0.827,0.9,3.3,4.2,4.8,1.1,0.3,2.1,1.9,21.4
525,Dennis Smith Jr.,PG,25,CHO,41,12,25.3,3.4,8.0,0.425,0.4,1.9,0.218,3.0,6.1,0.49,0.451,1.3,1.7,0.761,0.4,2.3,2.7,4.4,1.4,0.4,1.5,2.2,8.5
550,JT Thor,PF,20,CHO,50,2,11.2,0.9,2.5,0.373,0.3,1.2,0.258,0.6,1.3,0.484,0.437,0.4,0.6,0.621,0.5,1.2,1.7,0.4,0.3,0.2,0.4,0.8,2.6
586,P.J. Washington,PF,24,CHO,60,60,32.9,5.8,13.0,0.444,2.0,5.8,0.35,3.8,7.2,0.518,0.521,1.7,2.3,0.748,1.0,3.7,4.8,2.4,0.9,1.1,1.4,2.7,15.3
607,Mark Williams,C,21,CHO,32,7,16.8,3.3,5.2,0.648,0.0,0.0,,3.3,5.2,0.648,0.648,1.5,2.0,0.723,1.9,4.3,6.2,0.4,0.7,1.2,0.8,2.2,8.2
