,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
55,Dāvis Bertāns,PF,30,DAL,34,0,10.6,1.4,3.3,0.423,1.1,2.9,0.381,0.3,0.4,0.714,0.59,0.3,0.4,0.833,0.2,0.8,0.9,0.4,0.2,0.1,0.3,1.1,4.1
56,Reggie Bullock,SF,31,DAL,60,37,30.3,2.3,5.8,0.397,1.9,4.9,0.375,0.5,0.9,0.519,0.556,0.4,0.6,0.686,0.5,3.0,3.5,1.4,0.8,0.2,0.5,2.3,6.9
57,Facundo Campazzo,PG,31,DAL,8,0,6.5,0.4,1.6,0.231,0.4,1.4,0.273,0.0,0.3,0.0,0.346,0.1,0.3,0.5,0.0,0.3,0.3,1.1,0.8,0.0,0.4,0.4,1.3
58,Spencer Dinwiddie,PG,29,DAL,53,53,34.1,6.0,13.1,0.455,2.6,6.4,0.405,3.4,6.7,0.504,0.555,3.2,3.9,0.821,0.4,2.7,3.1,5.3,0.7,0.3,1.7,2.3,17.7
59,Luka Doncic,PG,23,DAL,52,52,36.4,11.2,22.1,0.504,2.7,7.8,0.35,8.4,14.3,0.589,0.566,8.0,11.0,0.732,0.9,7.9,8.8,8.1,1.5,0.5,3.7,2.6,33.1
60,Tyler Dorsey,SG,26,DAL,3,0,2.7,1.3,1.7,0.8,0.3,0.7,0.5,1.0,1.0,1.0,0.9,0.0,0.0,,0.3,0.3,0.7,0.0,0.0,0.0,0.0,0.0,3.0
61,Dorian Finney-Smith,PF,29,DAL,40,40,32.2,3.2,7.8,0.416,1.9,5.4,0.355,1.3,2.3,0.559,0.54,0.8,1.0,0.75,1.7,3.0,4.7,1.5,1.0,0.5,0.9,2.0,9.1
62,Josh Green,SG,22,DAL,42,10,24.7,3.3,6.1,0.543,1.2,2.9,0.421,2.1,3.2,0.652,0.643,1.4,2.0,0.714,0.9,1.8,2.7,1.6,0.8,0.1,1.0,2.6,9.3
63,Tim Hardaway Jr.,SG,30,DAL,56,37,30.1,4.7,12.3,0.38,2.9,7.9,0.36,1.8,4.3,0.417,0.497,1.8,2.3,0.756,0.3,3.3,3.6,1.7,0.7,0.1,0.9,1.6,13.9
64,Jaden Hardy,SG,20,DAL,32,0,11.6,2.2,5.1,0.423,0.8,2.3,0.342,1.4,2.8,0.489,0.5,1.3,1.5,0.875,0.1,1.3,1.3,0.8,0.3,0.1,0.8,1.3,6.4
65,Justin Holiday,SG,33,DAL,2,1,25.0,3.5,6.0,0.583,3.5,5.5,0.636,0.0,0.5,0.0,0.875,0.0,0.0,,0.0,1.0,1.0,1.0,1.0,1.5,0.0,2.5,10.5
66,Kyrie Irving,PG,30,DAL,6,6,36.8,9.3,18.3,0.509,3.3,8.2,0.408,6.0,10.2,0.59,0.6,4.2,4.2,1.0,1.5,3.7,5.2,6.5,1.0,0.5,2.3,3.2,26.2
67,Maxi Kleber,C,31,DAL,22,0,25.6,2.3,4.7,0.49,1.1,3.0,0.369,1.2,1.8,0.692,0.606,0.5,0.6,0.786,0.9,2.7,3.5,1.0,0.3,1.0,0.6,2.2,6.2
68,A.J. Lawson,SG,22,DAL,12,0,5.1,1.0,2.1,0.48,0.6,1.3,0.438,0.4,0.8,0.556,0.62,0.1,0.3,0.333,0.2,0.6,0.8,0.1,0.1,0.0,0.1,0.6,2.7
380,JaVale McGee,C,35,DAL,36,7,8.1,1.8,2.9,0.604,0.0,0.1,0.25,1.8,2.8,0.618,0.608,0.5,0.9,0.563,0.8,1.8,2.6,0.3,0.1,0.6,0.9,1.2,4.1
402,Markieff Morris,PF,33,DAL,1,0,9.0,1.0,2.0,0.5,1.0,2.0,0.5,0.0,0.0,,0.75,0.0,0.0,,0.0,0.0,0.0,0.0,1.0,0.0,1.0,3.0,3.0
423,Frank Ntilikina,PG,24,DAL,38,3,12.2,0.9,2.6,0.347,0.3,1.4,0.208,0.6,1.2,0.511,0.403,0.4,0.6,0.636,0.2,1.2,1.3,1.2,0.3,0.1,0.7,1.3,2.4
445,Theo Pinson,SG,27,DAL,33,0,7.2,0.6,1.8,0.339,0.5,1.3,0.357,0.2,0.5,0.294,0.466,0.3,0.3,0.818,0.2,0.9,1.2,0.9,0.1,0.0,0.3,0.7,1.9
461,Dwight Powell,C,31,DAL,57,45,19.9,2.6,3.6,0.725,0.0,0.1,0.0,2.6,3.5,0.736,0.725,1.6,2.4,0.691,2.1,2.3,4.4,0.8,0.7,0.4,0.9,2.9,6.8
519,Chris Silva,PF,26,DAL,1,0,3.0,1.0,1.0,1.0,0.0,0.0,,1.0,1.0,1.0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0
579,Kemba Walker,PG,32,DAL,9,1,16.0,2.7,6.3,0.421,0.8,3.1,0.25,1.9,3.2,0.586,0.482,1.9,2.3,0.81,0.3,1.4,1.8,2.1,0.2,0.2,0.4,1.2,8.0
617,Christian Wood,C,27,DAL,50,17,27.4,6.4,12.2,0.525,1.7,4.6,0.376,4.7,7.6,0.615,0.595,3.2,4.1,0.763,1.4,6.6,8.0,1.7,0.4,1.2,1.9,2.7,17.6
619,McKinley Wright IV,PG,24,DAL,20,1,10.3,1.2,2.5,0.469,0.2,0.7,0.286,1.0,1.8,0.543,0.51,0.4,0.6,0.636,0.3,1.0,1.3,1.9,0.4,0.2,0.6,0.9,2.9
