,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
103,Josh Christopher,SG,21,HOU,42,1,10.4,1.9,4.2,0.46,0.3,1.2,0.245,1.6,3.0,0.543,0.494,0.6,0.9,0.73,0.3,0.8,1.1,0.9,0.4,0.2,0.9,0.8,4.8
104,Darius Days,PF,23,HOU,4,0,6.3,1.3,3.0,0.417,0.8,2.5,0.3,0.5,0.5,1.0,0.542,0.5,0.5,1.0,0.3,1.3,1.5,0.3,0.0,0.3,0.0,0.5,3.8
105,Tari Eason,PF,21,HOU,60,3,19.6,3.4,7.6,0.442,0.7,2.0,0.347,2.7,5.7,0.475,0.487,1.3,1.7,0.75,2.3,3.4,5.6,1.0,1.1,0.6,1.1,2.2,8.7
106,Bruno Fernando,C,24,HOU,31,4,11.7,1.5,3.0,0.516,0.0,0.0,0.0,1.5,3.0,0.522,0.516,1.0,1.4,0.682,1.5,2.4,3.9,1.0,0.2,1.0,0.6,2.2,4.1
107,Usman Garuba,PF,20,HOU,53,1,13.5,1.2,2.3,0.532,0.3,0.6,0.485,0.9,1.7,0.549,0.597,0.4,0.7,0.528,1.6,2.8,4.4,0.9,0.7,0.5,0.6,1.7,3.2
108,Eric Gordon,SG,34,HOU,47,47,30.2,4.5,10.2,0.439,1.8,5.2,0.347,2.7,5.0,0.536,0.528,2.3,2.9,0.815,0.3,1.8,2.1,2.9,0.6,0.4,1.8,1.0,13.1
109,Jalen Green,SG,20,HOU,54,54,33.9,7.3,17.8,0.409,2.5,7.6,0.333,4.7,10.1,0.467,0.481,4.7,5.9,0.788,0.6,3.4,4.0,3.6,0.8,0.2,2.9,1.7,21.8
110,Trevor Hudgins,PG,23,HOU,5,0,5.6,0.4,1.8,0.222,0.4,1.6,0.25,0.0,0.2,0.0,0.333,0.6,0.6,1.0,0.0,0.0,0.0,0.6,0.0,0.0,0.2,0.2,1.8
111,Frank Kaminsky,C,29,HOU,3,0,8.0,0.3,2.3,0.143,0.0,1.0,0.0,0.3,1.3,0.25,0.143,1.3,1.3,1.0,0.3,1.0,1.3,2.0,0.3,0.7,0.0,0.3,2.0
359,Boban Marjanovic,C,34,HOU,20,0,4.5,1.3,1.9,0.676,0.0,0.1,0.0,1.3,1.8,0.694,0.676,0.8,1.1,0.762,0.6,1.1,1.6,0.2,0.1,0.1,0.3,0.2,3.3
364,Kenyon Martin Jr.,SF,22,HOU,60,27,26.6,4.6,8.3,0.559,0.9,2.7,0.319,3.8,5.6,0.674,0.611,1.7,2.6,0.658,1.5,4.1,5.6,1.6,0.5,0.4,1.2,1.8,11.8
367,Garrison Mathews,SG,26,HOU,45,0,13.4,1.3,3.8,0.353,1.2,3.4,0.342,0.2,0.3,0.467,0.509,0.9,1.0,0.911,0.2,1.2,1.4,0.5,0.5,0.1,0.4,1.2,4.8
419,Daishen Nix,PG,20,HOU,43,5,16.0,1.4,4.0,0.349,0.8,2.5,0.315,0.6,1.5,0.406,0.448,0.5,0.7,0.71,0.3,1.4,1.7,2.5,0.7,0.1,1.4,1.0,4.1
455,Kevin Porter Jr.,PG,22,HOU,40,40,34.0,6.7,15.4,0.437,2.2,6.4,0.346,4.5,9.0,0.501,0.509,3.5,4.6,0.766,1.4,4.1,5.5,5.6,1.3,0.4,3.6,2.7,19.2
513,Alperen Sengun,C,20,HOU,55,52,28.1,5.9,10.6,0.554,0.2,0.7,0.333,5.7,9.9,0.57,0.565,3.0,3.9,0.751,3.2,5.5,8.8,3.8,0.8,0.9,2.5,3.4,15.0
530,Jabari Smith Jr.,PF,19,HOU,57,57,30.1,4.2,10.9,0.384,1.6,5.3,0.297,2.6,5.7,0.464,0.455,2.0,2.6,0.788,1.3,5.8,7.1,1.2,0.5,1.0,1.5,2.9,12.0
540,Jae'Sean Tate,SF,27,HOU,22,7,21.5,3.4,7.2,0.468,0.4,1.4,0.29,3.0,5.8,0.512,0.497,1.3,1.9,0.667,1.5,2.2,3.7,2.6,0.6,0.2,1.6,3.3,8.4
587,TyTy Washington Jr.,PG,21,HOU,25,2,14.3,1.9,5.3,0.361,0.6,2.5,0.222,1.4,2.8,0.486,0.414,0.4,0.6,0.625,0.1,1.4,1.5,1.6,0.5,0.0,0.4,1.1,4.8
