,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
196,Ryan Arcidiacono,PG,28,NYK,11,0,2.4,0.1,0.5,0.2,0.1,0.3,0.333,0.0,0.2,0.0,0.3,0.0,0.0,,0.0,0.4,0.4,0.2,0.2,0.0,0.1,0.3,0.3
197,RJ Barrett,SG,22,NYK,56,56,34.1,6.9,16.1,0.429,1.8,5.4,0.33,5.1,10.7,0.479,0.484,4.0,5.3,0.753,0.9,4.3,5.2,2.8,0.5,0.2,2.3,2.6,19.5
198,Jalen Brunson,PG,26,NYK,59,59,35.2,8.4,17.5,0.479,1.8,4.6,0.401,6.5,12.9,0.507,0.531,4.9,5.9,0.834,0.6,3.0,3.6,6.2,0.9,0.3,2.0,2.3,23.6
199,Evan Fournier,SG,30,NYK,23,7,18.0,2.3,6.6,0.351,1.4,4.4,0.324,0.9,2.1,0.408,0.46,0.8,0.9,0.857,0.2,1.8,2.0,1.5,0.6,0.1,0.8,1.9,6.8
200,Quentin Grimes,SG,22,NYK,52,47,29.7,3.5,7.9,0.444,1.8,5.2,0.351,1.7,2.7,0.62,0.559,1.1,1.3,0.8,0.8,2.5,3.3,1.9,0.6,0.4,1.0,2.5,9.9
201,Josh Hart,SG,27,NYK,6,0,26.3,5.0,8.2,0.612,2.0,3.2,0.632,3.0,5.0,0.6,0.735,1.8,2.5,0.733,1.5,3.8,5.3,3.2,1.2,0.5,1.2,2.2,13.8
202,Isaiah Hartenstein,C,24,NYK,63,7,19.6,2.2,4.1,0.521,0.1,0.5,0.235,2.0,3.6,0.564,0.536,0.6,0.8,0.755,2.8,3.8,6.6,0.9,0.6,0.8,0.8,2.6,5.1
203,Trevor Keels,SG,19,NYK,1,0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
372,Miles McBride,PG,22,NYK,49,2,12.2,1.1,3.3,0.335,0.6,2.1,0.286,0.5,1.2,0.424,0.427,0.4,0.7,0.688,0.2,0.7,0.9,1.1,0.5,0.0,0.4,0.9,3.3
412,Svi Mykhailiuk,SF,25,NYK,13,0,3.1,0.5,0.9,0.5,0.5,0.8,0.6,0.0,0.2,0.0,0.75,0.2,0.4,0.6,0.0,0.5,0.5,0.1,0.1,0.0,0.2,0.1,1.6
469,Immanuel Quickley,PG,23,NYK,62,10,27.8,4.5,10.2,0.442,1.8,5.0,0.358,2.7,5.3,0.521,0.529,2.1,2.5,0.822,0.7,3.4,4.0,3.1,0.8,0.2,1.1,2.0,12.9
470,Julius Randle,PF,28,NYK,63,63,35.8,8.5,18.4,0.463,2.8,8.1,0.345,5.7,10.3,0.556,0.539,5.3,7.0,0.758,2.1,8.4,10.5,4.1,0.7,0.3,2.8,3.0,25.1
473,Cam Reddish,SF,23,NYK,20,8,21.9,3.1,6.8,0.449,0.9,2.8,0.304,2.2,4.0,0.55,0.511,1.5,1.7,0.879,0.4,1.2,1.6,1.0,0.8,0.4,0.8,1.6,8.4
487,Mitchell Robinson,C,24,NYK,41,40,27.1,3.2,4.7,0.696,0.0,0.0,,3.2,4.7,0.696,0.696,1.0,2.0,0.482,4.2,4.9,9.2,0.9,0.9,1.8,0.5,2.9,7.5
493,Derrick Rose,PG,34,NYK,27,0,12.5,2.3,5.9,0.384,0.7,2.3,0.302,1.6,3.6,0.438,0.443,0.4,0.4,0.917,0.3,1.2,1.5,1.7,0.3,0.2,0.8,0.7,5.6
523,Jericho Sims,C,24,NYK,48,16,16.1,1.7,2.2,0.769,0.0,0.0,0.0,1.7,2.1,0.777,0.769,0.3,0.3,0.75,1.9,2.9,4.8,0.5,0.3,0.6,0.5,1.9,3.6
556,Obi Toppin,PF,24,NYK,48,0,14.8,2.3,5.6,0.414,1.1,3.3,0.346,1.2,2.3,0.514,0.517,0.5,0.7,0.758,0.5,2.6,3.1,0.8,0.3,0.2,0.5,1.0,6.3
