,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
210,Cole Anthony,PG,22,ORL,42,3,24.7,4.1,9.4,0.435,1.1,3.2,0.333,3.0,6.2,0.488,0.492,2.5,2.8,0.89,0.6,3.9,4.5,4.1,0.6,0.6,1.5,2.5,11.8
211,Mo Bamba,C,24,ORL,40,6,17.0,2.7,5.4,0.495,1.1,2.7,0.398,1.6,2.7,0.594,0.596,0.9,1.3,0.686,1.2,3.4,4.6,1.1,0.3,1.0,0.6,2.2,7.3
212,Paolo Banchero,PF,20,ORL,55,55,33.7,6.5,15.5,0.421,1.1,4.1,0.274,5.4,11.4,0.474,0.457,5.7,7.6,0.754,1.2,5.5,6.6,3.6,0.9,0.5,2.7,2.2,19.9
213,Goga Bitadze,C,23,ORL,1,0,9.0,2.0,3.0,0.667,1.0,1.0,1.0,1.0,2.0,0.5,0.833,1.0,1.0,1.0,1.0,5.0,6.0,1.0,0.0,0.0,0.0,1.0,6.0
214,Bol Bol,PF,23,ORL,57,32,22.9,4.2,7.2,0.577,0.5,1.5,0.322,3.7,5.7,0.645,0.611,1.2,1.6,0.745,1.1,4.9,6.1,0.8,0.4,1.3,1.7,1.3,10.0
215,Wendell Carter Jr.,C,23,ORL,42,39,29.7,5.5,10.7,0.517,1.2,3.6,0.34,4.3,7.1,0.605,0.573,2.8,3.7,0.739,2.2,6.6,8.7,2.5,0.4,0.6,2.2,3.0,15.0
216,Markelle Fultz,PG,24,ORL,41,41,29.2,5.4,10.9,0.5,0.4,1.3,0.309,5.0,9.5,0.527,0.519,1.9,2.4,0.786,1.3,2.8,4.0,5.5,1.5,0.4,2.3,2.0,13.2
217,R.J. Hampton,PG,21,ORL,26,0,13.9,1.9,4.4,0.439,0.7,2.0,0.34,1.2,2.3,0.525,0.518,1.2,1.4,0.838,0.3,1.2,1.5,1.3,0.6,0.2,0.8,0.8,5.7
218,Gary Harris,SG,28,ORL,33,27,24.8,3.0,6.3,0.471,1.9,4.2,0.446,1.1,2.1,0.522,0.62,0.8,0.8,0.893,0.5,1.6,2.1,1.2,0.9,0.2,0.7,2.0,8.6
219,Kevon Harris,SG,25,ORL,27,0,12.4,1.2,2.9,0.416,0.4,1.0,0.393,0.8,1.8,0.429,0.487,0.8,1.0,0.815,0.9,1.1,2.0,0.4,0.5,0.1,0.6,1.3,3.6
220,Caleb Houstan,SF,20,ORL,34,2,16.1,1.5,3.6,0.41,1.0,2.5,0.388,0.5,1.1,0.459,0.545,0.3,0.4,0.846,0.7,1.5,2.2,0.5,0.2,0.1,0.4,1.4,4.2
221,Jonathan Isaac,PF,25,ORL,11,0,11.3,2.0,4.8,0.415,0.5,1.4,0.4,1.5,3.5,0.421,0.472,0.5,0.8,0.556,1.4,2.6,4.0,0.5,1.3,0.4,0.4,0.5,5.0
432,Chuma Okeke,SF,24,ORL,19,7,21.3,1.7,4.6,0.364,0.9,3.2,0.295,0.7,1.4,0.519,0.466,0.8,1.1,0.762,1.1,3.0,4.1,1.4,0.6,0.5,0.5,1.8,5.2
495,Terrence Ross,SG,31,ORL,42,9,22.5,3.1,7.1,0.431,1.5,3.8,0.381,1.6,3.3,0.489,0.533,0.4,0.5,0.75,0.2,1.8,2.0,1.3,0.6,0.2,0.9,1.3,8.0
510,Admiral Schofield,PF,25,ORL,28,0,12.6,1.6,3.3,0.478,0.6,1.9,0.333,0.9,1.4,0.684,0.576,0.6,0.7,0.895,0.7,1.2,1.9,0.8,0.2,0.1,0.2,1.9,4.4
537,Jalen Suggs,PG,21,ORL,37,14,23.0,3.3,8.1,0.411,1.1,3.7,0.304,2.2,4.4,0.503,0.482,1.6,2.2,0.707,0.9,1.9,2.8,3.3,1.2,0.5,1.9,2.4,9.4
575,Franz Wagner,SF,21,ORL,61,61,33.2,6.9,14.1,0.485,1.7,4.6,0.369,5.2,9.5,0.541,0.545,3.4,4.1,0.833,0.9,3.1,4.0,3.5,0.9,0.2,2.1,2.3,18.8
576,Moritz Wagner,C,25,ORL,41,14,21.0,3.6,7.4,0.492,1.0,3.1,0.318,2.6,4.2,0.621,0.559,2.9,3.4,0.855,1.3,3.3,4.6,1.7,0.7,0.2,1.2,2.7,11.1
