,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
222,Julian Champagnie,SF,21,PHI,2,0,3.5,0.0,1.0,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0
223,Joel Embiid,C,28,PHI,48,48,35.1,10.9,20.6,0.532,1.0,3.1,0.338,9.9,17.5,0.566,0.557,10.1,11.7,0.86,1.8,8.6,10.4,4.1,1.1,1.6,3.5,3.2,33.0
224,Michael Foster Jr.,PF,20,PHI,1,0,1.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
225,James Harden,PG,33,PHI,44,44,36.7,6.5,14.5,0.45,2.9,7.3,0.393,3.7,7.3,0.508,0.548,5.6,6.5,0.864,0.5,5.6,6.2,10.7,1.3,0.6,3.4,2.0,21.6
226,Montrezl Harrell,C,29,PHI,50,7,12.5,2.2,3.7,0.605,0.0,0.0,0.0,2.2,3.7,0.612,0.605,1.2,1.7,0.694,1.2,1.6,2.8,0.6,0.3,0.5,0.6,1.5,5.7
227,Tobias Harris,PF,30,PHI,56,56,33.7,6.1,12.2,0.498,1.8,4.7,0.38,4.3,7.5,0.572,0.571,1.4,1.6,0.856,0.9,4.9,5.8,2.5,1.0,0.5,1.3,2.0,15.3
228,Danuel House Jr.,SF,29,PHI,37,2,14.8,1.5,3.2,0.458,0.6,1.9,0.333,0.8,1.3,0.646,0.558,0.8,1.1,0.7,0.2,1.5,1.8,0.7,0.2,0.2,0.4,1.2,4.4
229,Furkan Korkmaz,SG,25,PHI,25,0,10.2,1.3,3.1,0.41,0.5,1.4,0.343,0.8,1.7,0.465,0.487,0.8,1.2,0.655,0.2,0.9,1.2,0.7,0.2,0.1,0.6,0.4,3.8
230,Saben Lee,PG,23,PHI,2,0,5.0,1.5,2.0,0.75,0.0,0.5,0.0,1.5,1.5,1.0,0.75,0.0,0.0,,0.0,0.0,0.0,1.0,0.5,0.0,1.5,0.5,3.0
371,Tyrese Maxey,SG,22,PHI,41,22,32.5,7.0,15.5,0.452,2.3,5.9,0.384,4.8,9.6,0.494,0.525,3.1,3.9,0.811,0.4,2.3,2.8,3.5,0.8,0.1,1.4,2.2,19.5
378,Jalen McDaniels,SF,25,PHI,6,0,16.0,1.7,3.7,0.455,0.3,0.7,0.5,1.3,3.0,0.444,0.5,0.7,1.2,0.571,1.3,2.3,3.7,1.0,0.5,0.0,0.2,2.2,4.3
384,De'Anthony Melton,PG,24,PHI,57,48,28.2,3.7,8.7,0.424,2.1,5.3,0.398,1.6,3.4,0.464,0.545,0.8,1.1,0.783,0.9,3.1,4.1,2.6,1.6,0.5,1.4,2.5,10.4
388,Shake Milton,SG,26,PHI,56,9,20.7,3.3,6.8,0.493,0.7,1.9,0.383,2.6,4.9,0.537,0.547,1.4,1.6,0.846,0.5,2.1,2.6,2.9,0.3,0.2,1.3,1.6,8.8
418,Georges Niang,PF,29,PHI,58,0,19.4,3.0,6.7,0.442,2.1,5.2,0.401,0.9,1.6,0.578,0.596,0.5,0.6,0.875,0.3,2.1,2.4,1.1,0.4,0.2,0.7,1.9,8.5
478,Paul Reed,C,23,PHI,47,0,9.5,1.3,2.3,0.573,0.0,0.1,0.0,1.3,2.3,0.594,0.573,0.4,0.5,0.75,1.2,1.9,3.1,0.3,0.6,0.6,0.6,1.8,3.1
533,Jaden Springer,SG,20,PHI,7,0,3.7,1.0,1.7,0.583,0.0,0.0,,1.0,1.7,0.583,0.583,0.4,0.6,0.75,0.6,0.4,1.0,0.1,0.3,0.3,0.1,1.0,2.4
552,Matisse Thybulle,SG,25,PHI,49,6,12.1,1.0,2.4,0.431,0.4,1.3,0.333,0.6,1.1,0.547,0.522,0.2,0.2,0.75,0.4,0.9,1.3,0.5,0.9,0.3,0.2,1.3,2.7
562,P.J. Tucker,PF,37,PHI,58,58,26.2,1.3,2.9,0.435,0.7,1.7,0.426,0.5,1.2,0.449,0.562,0.3,0.4,0.864,1.3,2.8,4.1,0.8,0.5,0.2,0.7,2.4,3.6
