,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
231,Deandre Ayton,C,24,PHO,53,53,30.3,8.2,13.8,0.591,0.1,0.4,0.304,8.0,13.4,0.6,0.595,2.2,3.0,0.739,2.8,7.3,10.1,2.0,0.6,0.8,1.9,2.8,18.7
232,Bismack Biyombo,C,30,PHO,46,9,14.0,1.7,3.0,0.572,0.0,0.0,,1.7,3.0,0.572,0.572,0.3,1.1,0.314,1.1,3.0,4.1,0.9,0.3,1.3,0.9,1.8,3.8
233,Devin Booker,SG,26,PHO,35,35,34.1,9.5,20.1,0.473,2.1,6.2,0.347,7.4,13.9,0.529,0.526,5.3,6.3,0.841,0.8,3.8,4.6,5.7,0.8,0.3,2.5,2.8,26.5
234,Mikal Bridges,SF,26,PHO,56,56,36.4,6.3,13.6,0.463,1.8,4.7,0.387,4.5,9.0,0.503,0.529,2.8,3.1,0.897,1.0,3.3,4.3,3.6,1.2,0.8,1.4,2.1,17.2
235,Torrey Craig,SF,32,PHO,59,49,25.8,3.0,6.6,0.452,1.3,3.2,0.405,1.7,3.4,0.497,0.551,0.5,0.6,0.73,2.1,3.7,5.8,1.6,0.7,0.6,1.0,2.4,7.7
236,Cameron Johnson,PF,26,PHO,17,16,25.2,4.8,10.2,0.474,2.6,5.8,0.455,2.2,4.4,0.5,0.604,1.6,1.9,0.818,0.8,3.0,3.8,1.5,0.9,0.4,0.6,1.7,13.9
237,Jock Landale,C,27,PHO,53,3,14.2,2.5,4.8,0.508,0.3,1.5,0.234,2.1,3.4,0.626,0.543,1.3,1.7,0.775,1.8,2.4,4.1,0.9,0.3,0.5,0.9,1.8,6.5
238,Damion Lee,SG,30,PHO,62,5,21.8,2.8,6.5,0.438,1.6,3.6,0.438,1.2,2.8,0.437,0.561,1.5,1.6,0.909,0.5,2.7,3.2,1.5,0.5,0.1,1.1,1.6,8.7
239,Saben Lee,PG,23,PHO,18,0,15.8,1.9,4.4,0.425,0.4,1.0,0.389,1.5,3.4,0.435,0.469,1.9,2.5,0.756,0.6,1.4,2.0,2.9,0.8,0.1,1.1,1.4,6.1
433,Josh Okogie,SG,24,PHO,52,6,15.6,2.1,5.0,0.424,0.8,2.2,0.345,1.4,2.8,0.486,0.5,1.5,2.2,0.699,1.5,1.8,3.3,1.2,0.7,0.4,0.9,1.5,6.6
442,Chris Paul,PG,37,PHO,41,41,32.1,4.8,11.3,0.429,1.6,4.1,0.376,3.3,7.1,0.459,0.498,2.6,3.2,0.817,0.4,3.8,4.2,8.9,1.5,0.4,2.1,2.2,13.8
443,Cameron Payne,PG,28,PHO,30,14,23.2,4.4,10.8,0.41,1.7,4.5,0.381,2.7,6.3,0.432,0.489,1.3,1.8,0.736,0.3,2.0,2.4,4.9,0.9,0.2,2.0,2.1,11.9
496,Terrence Ross,SG,31,PHO,3,0,21.7,4.3,9.7,0.448,1.7,5.7,0.294,2.7,4.0,0.667,0.534,0.3,0.7,0.5,0.3,3.7,4.0,2.0,0.3,0.0,0.0,2.7,10.7
507,Dario Saric,PF,28,PHO,37,12,14.4,2.1,4.8,0.427,0.7,1.9,0.391,1.3,2.9,0.45,0.503,1.0,1.2,0.818,1.1,2.8,3.8,1.5,0.4,0.1,1.0,1.9,5.8
515,Landry Shamet,SG,25,PHO,30,7,21.4,3.1,8.1,0.38,2.0,5.4,0.377,1.0,2.7,0.388,0.506,1.4,1.5,0.911,0.3,1.4,1.7,2.2,0.6,0.2,1.0,1.5,9.5
577,Ish Wainright,SF,28,PHO,44,1,15.5,1.5,3.8,0.389,1.0,2.8,0.344,0.5,1.0,0.524,0.518,0.5,0.6,0.84,0.8,1.3,2.2,1.0,0.8,0.3,0.4,2.0,4.4
584,T.J. Warren,SF,29,PHO,2,0,7.5,1.5,2.5,0.6,0.5,0.5,1.0,1.0,2.0,0.5,0.7,0.0,0.0,,0.5,2.0,2.5,0.0,0.5,0.0,0.0,0.5,3.5
585,Duane Washington Jr.,SG,22,PHO,31,3,12.7,3.0,8.3,0.367,1.3,3.6,0.36,1.7,4.7,0.372,0.445,0.5,0.8,0.667,0.1,1.1,1.2,2.0,0.2,0.1,1.1,0.7,7.9
