,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
14,Malcolm Brogdon,PG,30,BOS,53,0,25.5,5.2,10.6,0.49,2.1,4.4,0.46399999999999997,3.2,6.2,0.509,0.5870000000000001,2.4,2.7,0.887,0.6,3.5,4.2,3.7,0.6,0.3,1.6,1.6,14.8
15,Jaylen Brown,SF,26,BOS,50,50,35.7,9.9,20.3,0.486,2.5,7.5,0.336,7.4,12.8,0.574,0.5479999999999999,4.3,5.5,0.777,1.3,5.8,7.0,3.2,1.1,0.4,3.1,2.7,26.5
16,JD Davison,PG,20,BOS,6,0,2.3,0.3,1.3,0.25,0.0,0.5,0.0,0.3,0.8,0.4,0.25,0.0,0.0,,0.0,0.3,0.3,0.2,0.2,0.0,0.2,0.0,0.7
17,Blake Griffin,C,33,BOS,27,12,14.1,1.7,3.5,0.5,0.7,1.8,0.38799999999999996,1.0,1.7,0.622,0.601,0.6,0.9,0.625,0.9,2.4,3.3,1.3,0.3,0.2,0.5,1.9,4.7
18,Sam Hauser,PF,25,BOS,60,4,15.6,2.2,4.8,0.455,1.7,4.0,0.414,0.5,0.8,0.653,0.627,0.2,0.3,0.667,0.5,2.1,2.5,0.7,0.3,0.3,0.3,1.3,6.2
19,Al Horford,C,36,BOS,48,48,30.7,3.5,7.5,0.47200000000000003,2.1,4.9,0.43,1.4,2.6,0.5529999999999999,0.613,0.3,0.4,0.722,1.2,4.9,6.1,2.7,0.5,0.9,0.6,1.9,9.4
20,Justin Jackson,SF,27,BOS,23,0,4.7,0.3,1.2,0.259,0.2,0.9,0.25,0.1,0.3,0.28600000000000003,0.35200000000000004,0.0,0.1,0.5,0.1,0.7,0.7,0.4,0.2,0.2,0.1,0.3,0.9
21,Mfiondu Kabengele,PF,25,BOS,2,0,7.0,0.5,1.0,0.5,0.0,0.5,0.0,0.5,0.5,1.0,0.5,0.0,0.0,,1.5,1.0,2.5,0.0,0.0,0.0,0.5,1.5,1.0
22,Luke Kornet,C,27,BOS,53,0,11.6,1.6,2.3,0.6970000000000001,0.1,0.2,0.33299999999999996,1.5,2.1,0.726,0.7090000000000001,0.5,0.6,0.853,1.2,1.6,2.8,0.7,0.2,0.8,0.4,1.3,3.8
410,Mike Muscala,C,31,BOS,4,1,22.0,4.0,8.3,0.485,2.5,6.3,0.4,1.5,2.0,0.75,0.636,0.3,0.5,0.5,0.3,3.5,3.8,0.5,0.3,0.5,0.5,2.0,10.8
466,Payton Pritchard,PG,25,BOS,43,2,12.5,1.8,4.5,0.402,1.0,2.8,0.342,0.9,1.7,0.5,0.508,0.2,0.3,0.6920000000000001,0.5,1.0,1.5,1.0,0.3,0.0,0.7,0.8,4.8
524,Marcus Smart,PG,28,BOS,45,45,32.3,4.1,9.6,0.426,1.8,5.3,0.32899999999999996,2.3,4.3,0.547,0.517,1.4,1.8,0.768,0.7,2.8,3.5,6.8,1.4,0.4,2.4,2.6,11.3
541,Jayson Tatum,PF,24,BOS,58,58,37.3,9.8,21.3,0.46,3.3,9.3,0.35100000000000003,6.5,12.0,0.544,0.536,7.2,8.4,0.8640000000000001,1.1,7.6,8.7,4.7,1.0,0.8,3.0,2.1,30.1
572,Noah Vonleh,C,27,BOS,23,1,7.4,0.5,1.0,0.45799999999999996,0.0,0.2,0.25,0.4,0.9,0.5,0.479,0.1,0.1,1.0,0.8,1.3,2.1,0.3,0.1,0.3,0.5,1.5,1.1
597,Derrick White,SG,28,BOS,62,52,27.7,4.1,9.0,0.455,1.8,4.7,0.384,2.3,4.4,0.531,0.5539999999999999,2.0,2.3,0.8640000000000001,0.6,2.8,3.3,3.8,0.7,0.9,1.1,2.2,12.0
603,Grant Williams,PF,24,BOS,61,21,27.3,2.8,6.2,0.457,1.5,3.7,0.40399999999999997,1.3,2.5,0.536,0.5770000000000001,1.3,1.6,0.8270000000000001,1.1,3.7,4.8,1.8,0.6,0.4,1.1,2.6,8.4
609,Robert Williams,C,25,BOS,26,16,24.2,3.9,5.2,0.75,0.0,0.0,0.0,3.9,5.2,0.7559999999999999,0.75,0.6,1.0,0.6,3.1,5.5,8.6,1.5,0.5,1.1,0.9,1.8,8.4
