,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
50,Jarrett Allen,C,24,CLE,57,57,33.2,6.2,9.4,0.654,0.0,0.2,0.111,6.2,9.3,0.664,0.655,2.5,3.4,0.733,3.2,6.7,9.9,1.6,0.8,1.2,1.5,2.2,14.8
51,Mamadi Diakite,PF,26,CLE,16,2,6.1,0.7,1.6,0.423,0.3,0.9,0.267,0.4,0.7,0.636,0.5,0.0,0.0,,0.2,0.6,0.8,0.1,0.1,0.4,0.4,0.8,1.6
52,Darius Garland,PG,23,CLE,54,54,35.1,7.5,16.1,0.46799999999999997,2.6,6.1,0.42100000000000004,5.0,10.0,0.496,0.547,4.3,4.9,0.868,0.4,2.2,2.6,7.9,1.3,0.1,2.9,2.1,21.9
53,Danny Green,SG,35,CLE,3,0,9.3,1.0,2.7,0.375,1.0,2.3,0.429,0.0,0.3,0.0,0.563,0.3,0.3,1.0,0.0,0.3,0.3,0.0,0.3,0.3,0.7,1.0,3.3
54,Caris LeVert,SG,28,CLE,58,26,30.0,4.2,10.1,0.41100000000000003,1.5,4.2,0.36,2.7,5.9,0.446,0.485,1.8,2.5,0.72,0.7,3.2,3.9,4.0,0.8,0.2,1.6,2.2,11.6
349,Robin Lopez,C,34,CLE,32,1,7.7,1.2,1.8,0.655,0.1,0.1,0.667,1.1,1.7,0.655,0.672,0.4,0.5,0.75,0.6,0.7,1.3,0.4,0.0,0.1,0.7,1.0,2.8
351,Kevin Love,PF,34,CLE,41,3,20.0,2.7,7.0,0.389,1.7,4.8,0.354,1.0,2.2,0.467,0.511,1.4,1.5,0.889,1.0,5.8,6.8,1.9,0.2,0.2,1.1,1.6,8.5
391,Donovan Mitchell,SG,26,CLE,53,53,35.4,9.5,19.8,0.479,3.7,9.4,0.389,5.8,10.4,0.561,0.5710000000000001,4.5,5.2,0.8759999999999999,0.9,3.1,4.0,4.8,1.5,0.4,2.7,2.4,27.2
392,Evan Mobley,PF,21,CLE,62,62,34.1,6.5,11.9,0.552,0.3,1.3,0.22,6.3,10.5,0.594,0.565,2.6,3.7,0.696,2.3,6.5,8.8,2.7,0.8,1.3,2.0,2.9,16.0
393,Isaiah Mobley,PF,23,CLE,9,0,2.9,0.4,0.9,0.5,0.1,0.2,0.5,0.3,0.7,0.5,0.563,0.0,0.0,,0.1,1.1,1.2,0.0,0.1,0.0,0.0,0.2,1.0
417,Raul Neto,PG,30,CLE,41,1,10.2,1.1,2.2,0.517,0.3,0.9,0.33299999999999996,0.8,1.3,0.642,0.584,0.6,0.6,0.92,0.2,0.8,1.0,1.4,0.4,0.1,0.3,0.9,3.1
435,Isaac Okoro,SF,22,CLE,64,34,21.2,2.3,4.6,0.491,0.8,2.2,0.355,1.5,2.4,0.618,0.5770000000000001,1.0,1.4,0.736,0.7,1.9,2.6,1.1,0.7,0.4,0.6,1.9,6.3
440,Cedi Osman,SF,27,CLE,60,0,21.0,3.3,7.2,0.45299999999999996,1.4,4.1,0.348,1.8,3.1,0.591,0.552,1.0,1.5,0.659,0.3,2.0,2.3,1.6,0.5,0.1,0.7,1.6,8.9
498,Ricky Rubio,PG,32,CLE,16,0,16.7,1.7,5.5,0.307,0.8,3.1,0.265,0.9,2.4,0.359,0.381,0.9,1.3,0.75,0.3,2.1,2.3,3.5,1.1,0.1,0.8,1.6,5.1
534,Lamar Stevens,PF,25,CLE,45,18,17.4,2.0,4.4,0.457,0.4,1.5,0.303,1.6,3.0,0.534,0.508,0.6,0.9,0.718,0.6,2.4,3.0,0.6,0.4,0.3,0.5,1.2,5.1
574,Dean Wade,PF,26,CLE,34,9,20.9,1.8,4.2,0.434,1.1,2.9,0.38,0.7,1.3,0.5579999999999999,0.5660000000000001,0.4,0.7,0.652,0.5,3.2,3.7,0.9,0.7,0.5,0.4,2.2,5.2
