,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
69,Christian Braun,SG,21,DEN,57,3,15.2,1.8,3.5,0.5,0.4,1.1,0.391,1.3,2.4,0.551,0.563,0.4,0.7,0.585,0.7,1.7,2.4,0.8,0.5,0.2,0.5,1.2,4.4
70,Bruce Brown,SG,26,DEN,61,28,28.6,4.4,9.0,0.485,1.3,3.4,0.38,3.1,5.6,0.55,0.557,1.1,1.5,0.722,0.7,3.2,3.9,3.6,1.0,0.6,1.6,2.4,11.1
71,Thomas Bryant,C,25,DEN,6,0,12.3,1.5,3.5,0.429,0.0,0.2,0.0,1.5,3.3,0.45,0.429,1.3,1.8,0.727,1.3,2.7,4.0,0.0,0.2,0.5,1.0,1.5,4.3
72,Kentavious Caldwell-Pope,SG,29,DEN,59,59,31.5,4.1,8.5,0.48,1.9,4.3,0.452,2.1,4.2,0.508,0.594,1.4,1.6,0.8420000000000001,0.5,2.4,2.9,2.3,1.4,0.5,1.2,2.1,11.4
73,Vlatko Cancar,PF,25,DEN,47,8,16.3,2.1,4.2,0.49700000000000005,0.9,2.1,0.41200000000000003,1.3,2.2,0.578,0.598,0.6,0.7,0.935,0.5,1.9,2.3,1.5,0.4,0.3,0.7,1.6,5.7
74,Aaron Gordon,PF,27,DEN,50,50,30.2,6.5,11.2,0.583,1.0,2.6,0.382,5.5,8.6,0.645,0.628,3.0,4.9,0.623,2.4,4.5,6.8,2.9,0.8,0.8,1.6,1.9,17.1
75,Jeff Green,PF,36,DEN,39,3,19.4,3.1,6.2,0.498,0.4,1.7,0.25,2.6,4.4,0.595,0.5329999999999999,1.5,2.1,0.7070000000000001,0.7,1.8,2.5,1.2,0.4,0.3,0.9,1.9,8.1
76,Bones Hyland,PG,22,DEN,42,1,19.5,4.1,10.3,0.39899999999999997,2.2,5.7,0.37799999999999995,2.0,4.6,0.425,0.503,1.7,2.0,0.866,0.2,1.8,2.0,3.0,0.7,0.3,1.6,1.6,12.1
77,Reggie Jackson,PG,32,DEN,3,0,18.7,2.3,7.7,0.304,1.7,5.0,0.33299999999999996,0.7,2.7,0.25,0.413,1.0,1.3,0.75,0.3,1.7,2.0,3.0,0.7,0.3,0.7,2.0,7.3
78,Nikola Jokic,C,27,DEN,54,54,33.7,9.4,14.9,0.633,0.8,2.1,0.39799999999999996,8.6,12.8,0.6709999999999999,0.6609999999999999,5.1,6.2,0.8240000000000001,2.3,9.4,11.7,10.0,1.3,0.7,3.6,2.6,24.8
79,DeAndre Jordan,C,34,DEN,34,5,14.6,2.2,2.8,0.7709999999999999,0.0,0.0,1.0,2.1,2.8,0.768,0.7759999999999999,0.5,1.2,0.439,1.2,3.7,4.9,0.9,0.2,0.6,1.2,1.9,4.9
406,Jamal Murray,PG,25,DEN,48,48,32.6,7.3,16.1,0.451,2.4,6.3,0.384,4.8,9.8,0.494,0.526,3.0,3.6,0.8270000000000001,0.8,3.3,4.1,6.0,1.0,0.2,2.1,1.4,19.9
420,Zeke Nnaji,PF,22,DEN,44,5,13.3,2.0,3.5,0.5720000000000001,0.3,1.0,0.289,1.7,2.4,0.6920000000000001,0.615,0.8,1.2,0.667,1.3,1.0,2.3,0.3,0.3,0.4,0.5,1.8,5.1
456,Michael Porter Jr.,SF,24,DEN,45,45,29.3,6.3,13.1,0.48,3.0,7.3,0.409,3.3,5.8,0.569,0.594,1.5,1.9,0.8,0.9,4.5,5.4,1.0,0.6,0.5,1.1,2.2,17.0
476,Davon Reed,SG,27,DEN,35,1,9.0,0.7,2.3,0.313,0.5,1.3,0.364,0.3,1.0,0.25,0.413,0.4,0.6,0.75,0.3,1.3,1.6,0.5,0.4,0.1,0.6,1.0,2.3
529,Ish Smith,PG,34,DEN,31,0,10.2,1.4,3.2,0.424,0.1,0.2,0.33299999999999996,1.3,3.0,0.43,0.434,0.0,0.1,0.5,0.1,1.3,1.4,2.4,0.2,0.2,1.2,0.9,2.8
591,Peyton Watson,SG,20,DEN,13,0,3.2,0.8,1.4,0.556,0.2,0.2,0.667,0.6,1.2,0.5329999999999999,0.611,0.0,0.2,0.0,0.2,0.4,0.6,0.1,0.0,0.1,0.2,0.2,1.7
598,Jack White,SF,25,DEN,15,0,3.1,0.5,1.1,0.43799999999999994,0.2,0.5,0.375,0.3,0.5,0.5,0.531,0.1,0.2,0.667,0.2,0.3,0.5,0.1,0.1,0.1,0.1,0.5,1.3
