,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
80,Marvin Bagley III,C,23,DET,27,13,21.6,4.7,8.7,0.5379999999999999,0.3,1.4,0.243,4.4,7.4,0.593,0.557,1.6,2.3,0.698,2.5,4.1,6.6,0.6,0.5,0.7,0.9,2.0,11.4
81,Saddiq Bey,SF,23,DET,52,30,28.8,4.7,11.7,0.40399999999999997,1.9,5.6,0.345,2.8,6.0,0.46,0.488,3.5,4.0,0.861,1.1,3.5,4.7,1.6,1.0,0.2,1.0,1.7,14.8
82,Buddy Boeheim,PG,23,DET,1,0,1.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83,Bojan Bogdanovic,PF,33,DET,58,58,31.9,7.2,14.8,0.48700000000000004,2.4,5.9,0.402,4.9,9.0,0.542,0.5660000000000001,4.6,5.2,0.883,0.6,3.2,3.7,2.6,0.6,0.1,2.3,1.9,21.4
84,Alec Burks,SG,31,DET,49,7,22.1,4.0,9.0,0.441,1.9,4.6,0.42,2.0,4.4,0.46299999999999997,0.5479999999999999,3.0,3.7,0.816,0.4,2.7,3.0,2.2,0.7,0.1,1.1,1.9,12.8
85,Cade Cunningham,PG,21,DET,12,12,33.3,7.8,18.7,0.415,1.4,5.1,0.27899999999999997,6.3,13.6,0.466,0.45299999999999996,3.0,3.6,0.8370000000000001,1.0,5.2,6.2,6.0,0.8,0.6,3.3,2.8,19.9
86,Hamidou Diallo,SG,24,DET,53,0,17.2,3.7,6.4,0.581,0.1,0.4,0.263,3.6,6.0,0.6,0.588,1.5,2.6,0.591,1.0,2.4,3.4,0.9,1.0,0.3,1.2,2.2,9.1
87,Jalen Duren,C,19,DET,52,27,25.1,3.6,5.6,0.645,0.0,0.0,0.0,3.6,5.6,0.647,0.645,1.3,2.2,0.611,3.3,5.4,8.7,1.1,0.6,0.9,1.2,2.7,8.5
88,R.J. Hampton,PG,21,DET,2,0,14.0,0.5,3.0,0.16699999999999998,0.0,1.5,0.0,0.5,1.5,0.33299999999999996,0.16699999999999998,0.0,0.0,,0.0,2.5,2.5,0.5,1.0,0.5,0.5,0.5,1.0
89,Killian Hayes,PG,21,DET,58,39,27.1,3.8,10.2,0.369,1.2,3.8,0.3,2.6,6.3,0.41,0.426,0.8,1.0,0.8170000000000001,0.3,2.4,2.7,5.9,1.3,0.4,2.0,3.0,9.5
90,Jaden Ivey,SG,20,DET,57,56,30.1,5.2,12.4,0.42,1.4,4.2,0.336,3.8,8.2,0.46399999999999997,0.47700000000000004,3.5,4.8,0.725,1.0,2.9,3.9,4.7,0.9,0.3,2.8,3.1,15.3
91,Cory Joseph,PG,31,DET,43,2,16.0,1.7,4.4,0.38799999999999996,0.6,2.0,0.314,1.1,2.4,0.451,0.46,0.7,0.9,0.769,0.2,1.1,1.3,3.2,0.4,0.1,0.7,1.5,4.7
92,Braxton Key,SF,25,DET,3,0,3.0,0.3,0.3,1.0,0.0,0.0,,0.3,0.3,1.0,1.0,0.7,0.7,1.0,0.0,0.3,0.3,0.0,0.0,0.0,0.0,0.0,1.3
93,Kevin Knox,PF,23,DET,42,1,14.1,2.0,4.3,0.469,1.0,2.8,0.371,1.0,1.5,0.6509999999999999,0.589,0.6,0.8,0.7879999999999999,0.5,2.1,2.6,0.4,0.3,0.3,0.8,1.8,5.6
345,Isaiah Livers,PF,24,DET,40,10,21.0,1.9,4.6,0.40700000000000003,1.3,3.5,0.369,0.6,1.0,0.537,0.5489999999999999,0.6,0.7,0.7859999999999999,0.5,1.8,2.3,0.6,0.5,0.6,0.6,1.9,5.6
382,Rodney McGruder,SG,31,DET,22,3,11.3,1.0,2.9,0.365,0.8,2.0,0.37799999999999995,0.3,0.8,0.33299999999999996,0.5,0.4,0.6,0.6920000000000001,0.5,0.9,1.4,0.7,0.3,0.0,0.3,0.7,3.3
421,Nerlens Noel,C,28,DET,14,3,10.9,0.9,2.1,0.4,0.1,0.1,0.5,0.8,2.0,0.39299999999999996,0.41700000000000004,0.5,0.7,0.7,0.5,2.1,2.6,0.5,0.9,0.6,0.6,1.8,2.3
480,Jared Rhoden,SG,23,DET,1,0,12.0,1.0,3.0,0.33299999999999996,0.0,1.0,0.0,1.0,2.0,0.5,0.33299999999999996,0.0,0.0,,0.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,2.0
535,Isaiah Stewart,C,21,DET,50,47,28.3,3.9,8.8,0.442,1.3,4.1,0.327,2.6,4.7,0.542,0.518,2.2,3.0,0.738,2.3,5.8,8.1,1.4,0.4,0.7,1.4,2.7,11.3
564,Stanley Umude,SG,23,DET,1,0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,,0.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0
616,James Wiseman,C,21,DET,4,2,23.5,5.8,9.8,0.59,0.3,1.0,0.25,5.5,8.8,0.629,0.603,1.3,2.0,0.625,2.0,6.0,8.0,0.0,0.0,0.3,1.3,2.5,13.0
