,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
204,Darius Bazley,PF,22,OKC,36,1,15.4,2.0,4.4,0.449,0.5,1.3,0.4,1.5,3.1,0.469,0.506,1.0,1.8,0.5539999999999999,0.8,2.6,3.4,0.9,0.5,0.8,0.6,1.0,5.4
205,Ousmane Dieng,SF,19,OKC,19,0,14.9,1.7,4.1,0.41600000000000004,0.7,2.4,0.289,1.0,1.7,0.594,0.5,0.1,0.3,0.4,0.4,2.2,2.6,1.4,0.3,0.3,0.6,1.2,4.2
206,Luguentz Dort,SG,23,OKC,53,52,30.2,4.8,11.8,0.406,1.9,5.4,0.349,2.9,6.5,0.45299999999999996,0.485,2.6,3.5,0.76,1.5,2.9,4.4,2.2,1.0,0.3,1.3,3.2,14.1
207,Josh Giddey,SG,20,OKC,55,55,30.9,7.0,14.5,0.484,0.9,2.9,0.309,6.1,11.5,0.528,0.515,1.3,1.7,0.769,2.0,5.8,7.7,5.8,0.8,0.5,3.0,2.1,16.2
208,Shai Gilgeous-Alexander,PG,24,OKC,54,54,35.5,10.2,20.2,0.507,0.9,2.6,0.33799999999999997,9.4,17.6,0.532,0.528,9.6,10.6,0.9079999999999999,0.9,3.9,4.7,5.7,1.6,1.1,2.9,2.7,31.0
209,Isaiah Joe,SG,23,OKC,52,4,16.4,2.9,6.1,0.478,2.2,4.9,0.45299999999999996,0.7,1.2,0.581,0.66,0.9,1.2,0.8170000000000001,0.3,2.0,2.3,1.1,0.6,0.1,0.5,1.4,9.0
358,Tre Mann,PG,21,OKC,54,4,18.2,3.0,7.8,0.389,1.3,4.1,0.309,1.8,3.7,0.47700000000000004,0.47,0.5,0.7,0.7,0.4,1.9,2.3,1.6,0.6,0.2,0.9,1.5,7.9
409,Mike Muscala,C,31,OKC,43,5,14.5,2.1,4.7,0.43799999999999994,1.3,3.3,0.39399999999999996,0.8,1.4,0.541,0.5760000000000001,0.7,0.9,0.795,0.5,2.6,3.1,0.9,0.3,0.4,0.3,1.6,6.2
439,Eugene Omoruyi,SF,25,OKC,23,2,11.8,1.9,4.1,0.46799999999999997,0.3,1.3,0.258,1.6,2.7,0.5710000000000001,0.511,0.7,1.2,0.607,1.0,1.3,2.3,0.5,0.6,0.0,0.7,2.0,4.9
453,Aleksej Pokusevski,PF,21,OKC,31,25,21.8,3.5,7.8,0.44,1.2,3.3,0.376,2.2,4.6,0.486,0.519,0.7,1.1,0.636,1.5,3.6,5.1,2.0,0.6,1.3,1.3,1.8,8.8
489,Jeremiah Robinson-Earl,PF,22,OKC,31,18,20.1,2.9,6.3,0.46399999999999997,1.0,2.8,0.341,2.0,3.5,0.565,0.541,0.9,1.1,0.794,1.8,2.8,4.5,1.0,0.7,0.4,0.5,1.7,7.7
508,Dario Saric,PF,28,OKC,4,0,11.5,1.8,3.5,0.5,0.8,2.0,0.375,1.0,1.5,0.667,0.607,1.8,1.8,1.0,0.8,2.0,2.8,0.8,0.3,0.0,1.5,1.8,6.0
589,Lindy Waters III,SG,25,OKC,25,0,11.2,1.4,3.6,0.396,1.2,3.4,0.369,0.2,0.3,0.7140000000000001,0.5660000000000001,0.2,0.3,0.75,0.3,1.4,1.7,0.7,0.4,0.2,0.2,0.9,4.4
600,Aaron Wiggins,SG,24,OKC,48,12,18.5,2.4,4.8,0.504,0.7,1.7,0.39799999999999996,1.8,3.1,0.564,0.575,0.8,1.0,0.83,1.0,2.1,3.1,1.4,0.5,0.2,0.8,1.6,6.4
604,Jalen Williams,SG,21,OKC,56,43,29.2,5.0,9.8,0.509,0.9,2.7,0.325,4.1,7.1,0.58,0.5539999999999999,1.6,2.0,0.763,1.0,3.2,4.2,2.9,1.3,0.5,1.6,2.6,12.4
605,Jaylin Williams,PF,20,OKC,28,15,16.4,2.1,4.4,0.47200000000000003,0.9,1.8,0.48,1.2,2.6,0.466,0.569,0.6,1.0,0.667,0.8,3.8,4.6,1.5,0.4,0.2,0.7,1.9,5.6
606,Kenrich Williams,PF,28,OKC,52,10,22.6,3.3,6.5,0.516,1.0,2.5,0.379,2.4,3.9,0.605,0.591,0.3,0.7,0.43200000000000005,1.8,3.1,4.9,2.0,0.8,0.3,0.6,2.1,8.0
