,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
240,Ryan Arcidiacono,PG,28,POR,3,1,14.3,1.0,3.0,0.33299999999999996,1.0,2.0,0.5,0.0,1.0,0.0,0.5,0.0,0.0,,0.0,2.0,2.0,2.0,0.0,0.0,0.7,1.0,3.0
241,Greg Brown III,PF,21,POR,16,0,5.8,0.7,1.8,0.39299999999999996,0.1,0.4,0.14300000000000002,0.6,1.3,0.47600000000000003,0.41100000000000003,0.3,0.8,0.41700000000000004,0.1,1.1,1.2,0.2,0.3,0.3,0.4,0.8,1.8
242,John Butler,C,20,POR,9,0,3.3,0.1,0.6,0.2,0.0,0.4,0.0,0.1,0.1,1.0,0.2,0.0,0.0,,0.1,0.1,0.2,0.1,0.1,0.3,0.0,0.2,0.2
243,Drew Eubanks,C,25,POR,58,15,19.6,2.5,3.7,0.6809999999999999,0.1,0.1,0.429,2.4,3.6,0.6890000000000001,0.688,1.0,1.5,0.659,1.7,3.3,5.0,1.2,0.5,1.2,0.8,2.2,6.0
244,Jerami Grant,PF,28,POR,55,55,35.6,7.1,14.6,0.484,2.3,5.5,0.40700000000000003,4.8,9.0,0.532,0.562,4.3,5.3,0.807,0.9,3.5,4.3,2.3,0.8,0.8,1.8,2.4,20.6
245,Josh Hart,SF,27,POR,51,51,33.4,3.6,7.1,0.504,0.7,2.2,0.304,2.9,4.9,0.594,0.551,1.7,2.3,0.731,1.9,6.3,8.2,3.9,1.1,0.2,1.5,2.6,9.5
246,Keon Johnson,SG,20,POR,30,0,10.0,1.6,4.4,0.366,0.7,2.0,0.36700000000000005,0.9,2.4,0.366,0.45,0.4,0.7,0.5710000000000001,0.3,0.9,1.2,1.1,0.5,0.1,1.0,1.0,4.3
247,Kevin Knox,SF,23,POR,4,0,5.0,0.3,1.0,0.25,0.0,0.8,0.0,0.3,0.3,1.0,0.25,0.5,0.5,1.0,0.5,0.5,1.0,0.0,0.0,0.0,0.0,1.3,1.0
248,Damian Lillard,PG,32,POR,47,47,36.3,9.7,20.6,0.47200000000000003,4.3,11.4,0.381,5.4,9.2,0.583,0.5770000000000001,8.5,9.2,0.919,0.6,3.7,4.3,7.2,0.8,0.3,3.2,1.9,32.3
344,Nassir Little,SF,22,POR,39,2,17.3,2.4,5.0,0.48,1.2,2.8,0.426,1.2,2.3,0.545,0.597,0.6,0.9,0.657,0.5,2.2,2.6,1.0,0.4,0.4,0.5,1.1,6.6
427,Jusuf Nurkic,C,28,POR,45,45,27.3,5.2,9.8,0.524,0.9,2.2,0.39,4.3,7.6,0.563,0.568,2.6,3.8,0.6859999999999999,2.3,7.2,9.4,2.9,0.9,0.9,2.4,3.6,13.8
444,Gary Payton II,PG,30,POR,15,1,17.0,1.6,2.7,0.585,0.6,1.1,0.529,1.0,1.6,0.625,0.695,0.3,0.3,1.0,0.7,1.9,2.6,1.5,1.1,0.1,0.8,1.9,4.1
474,Cam Reddish,SF,23,POR,5,5,27.0,4.4,9.6,0.45799999999999996,2.2,6.0,0.36700000000000005,2.2,3.6,0.611,0.573,2.0,2.0,1.0,0.6,1.8,2.4,2.6,1.6,0.2,1.2,2.2,13.0
517,Shaedon Sharpe,SG,19,POR,59,5,20.2,3.2,6.7,0.47100000000000003,1.0,2.8,0.34700000000000003,2.2,3.9,0.561,0.544,0.5,0.8,0.667,0.8,1.7,2.5,0.6,0.4,0.3,0.7,1.6,7.9
522,Anfernee Simons,SG,23,POR,56,56,35.5,7.6,16.9,0.45,3.5,9.2,0.381,4.1,7.8,0.532,0.5529999999999999,2.6,2.9,0.9129999999999999,0.3,2.4,2.7,4.2,0.7,0.2,2.2,2.4,21.4
553,Matisse Thybulle,SG,25,POR,4,4,29.8,2.8,6.0,0.45799999999999996,1.8,4.0,0.43799999999999994,1.0,2.0,0.5,0.604,0.0,0.3,0.0,0.5,3.0,3.5,1.8,2.3,1.0,0.8,3.8,7.3
578,Jabari Walker,SF,20,POR,40,0,9.1,1.1,2.4,0.44299999999999995,0.1,0.7,0.192,1.0,1.8,0.535,0.469,0.5,0.7,0.7240000000000001,0.8,1.2,2.1,0.5,0.1,0.2,0.4,1.0,2.8
590,Trendon Watford,PF,22,POR,44,2,16.4,2.1,3.7,0.578,0.4,0.8,0.485,1.8,2.9,0.602,0.627,1.1,1.6,0.7140000000000001,0.6,2.7,3.3,1.7,0.3,0.1,1.0,1.9,5.7
613,Justise Winslow,SF,26,POR,29,11,26.8,2.8,6.8,0.409,0.5,1.6,0.311,2.3,5.3,0.43799999999999994,0.444,0.7,1.0,0.7140000000000001,1.7,3.3,5.0,3.4,1.0,0.4,1.5,3.1,6.8
