,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
260,Dominick Barlow,SF,19,SAS,11,0,10.1,1.3,2.4,0.5379999999999999,0.0,0.4,0.0,1.3,2.0,0.636,0.5379999999999999,0.8,0.9,0.9,1.3,1.3,2.5,0.6,0.2,0.2,0.5,1.9,3.4
261,Charles Bassey,C,22,SAS,28,1,13.9,2.2,3.4,0.642,0.1,0.3,0.429,2.1,3.1,0.659,0.6579999999999999,0.7,1.0,0.655,2.1,3.4,5.5,1.3,0.4,0.9,1.1,2.1,5.1
262,Keita Bates-Diop,SF,27,SAS,47,25,20.6,3.1,6.4,0.49200000000000005,0.6,1.6,0.364,2.5,4.7,0.536,0.5379999999999999,1.4,1.8,0.7909999999999999,1.0,2.4,3.4,1.2,0.7,0.3,0.8,1.0,8.3
263,Malaki Branham,SF,19,SAS,47,14,22.4,3.7,8.4,0.446,1.2,3.7,0.314,2.6,4.7,0.55,0.515,0.8,1.0,0.792,0.4,1.8,2.2,2.0,0.5,0.1,1.1,1.7,9.5
264,Zach Collins,C,25,SAS,50,13,21.4,4.0,7.5,0.532,0.6,1.8,0.36,3.3,5.7,0.586,0.575,1.6,2.1,0.745,1.8,4.2,6.0,2.6,0.5,0.6,1.9,3.2,10.2
265,Gorgui Dieng,C,33,SAS,21,1,9.6,1.1,3.0,0.387,0.6,2.0,0.27899999999999997,0.6,0.9,0.632,0.484,0.2,0.3,0.833,0.9,1.8,2.6,1.4,0.1,0.3,0.8,1.4,3.1
266,Devonte' Graham,PG,27,SAS,6,1,28.2,4.2,12.2,0.342,2.8,8.7,0.327,1.3,3.5,0.381,0.45899999999999996,2.5,3.3,0.75,0.8,1.7,2.5,4.7,0.8,0.7,0.8,1.3,13.7
267,Jordan Hall,SF,21,SAS,9,0,9.2,1.0,3.1,0.321,0.3,1.7,0.2,0.7,1.4,0.462,0.375,0.8,1.0,0.778,0.3,1.0,1.3,1.2,0.1,0.0,0.8,0.7,3.1
268,Alize Johnson,PF,26,SAS,4,0,7.5,0.8,1.5,0.5,0.0,0.5,0.0,0.8,1.0,0.75,0.5,0.3,0.5,0.5,0.5,2.0,2.5,0.3,0.3,0.0,1.0,0.8,1.8
269,Keldon Johnson,SF,23,SAS,54,54,32.6,7.8,17.4,0.446,2.1,6.5,0.324,5.7,10.9,0.519,0.506,4.1,5.3,0.774,0.9,4.0,4.8,2.8,0.7,0.2,2.1,1.9,21.8
270,Stanley Johnson,SF,26,SAS,30,0,15.6,2.2,4.1,0.5329999999999999,0.6,1.3,0.45,1.6,2.7,0.573,0.607,0.9,1.3,0.667,0.7,2.4,3.2,2.2,0.5,0.2,1.1,1.6,5.8
271,Tre Jones,PG,23,SAS,52,52,29.3,4.9,11.3,0.436,0.7,2.5,0.265,4.3,8.8,0.486,0.466,2.2,2.5,0.8909999999999999,0.8,2.8,3.6,6.3,1.3,0.2,1.8,1.4,12.8
272,Romeo Langford,SG,23,SAS,32,19,20.2,3.1,6.4,0.49,0.4,1.4,0.28300000000000003,2.7,4.9,0.551,0.522,0.8,1.2,0.649,1.4,1.4,2.9,1.3,0.5,0.3,0.7,1.7,7.4
379,Doug McDermott,SF,31,SAS,53,0,20.5,3.6,7.9,0.45899999999999996,1.8,4.4,0.409,1.8,3.5,0.525,0.574,0.7,1.0,0.745,0.3,1.8,2.2,1.5,0.2,0.1,0.9,1.8,9.8
451,Jakob Poeltl,C,27,SAS,46,46,26.1,5.2,8.4,0.616,0.0,0.0,0.0,5.2,8.4,0.618,0.616,1.7,2.8,0.605,3.3,5.7,9.0,3.1,0.8,1.1,2.1,2.6,12.1
464,Joshua Primo,SG,20,SAS,4,0,23.3,2.3,6.5,0.34600000000000003,0.8,3.0,0.25,1.5,3.5,0.429,0.40399999999999997,1.8,2.3,0.778,0.5,2.8,3.3,4.5,0.3,0.5,2.8,2.0,7.0
483,Josh Richardson,SG,29,SAS,42,6,23.7,4.2,9.7,0.436,1.8,4.9,0.35700000000000004,2.5,4.7,0.518,0.527,1.3,1.4,0.883,0.7,2.1,2.8,3.3,1.0,0.3,1.5,1.7,11.5
490,Isaiah Roby,PF,24,SAS,42,2,11.3,1.6,3.7,0.43200000000000005,0.4,1.4,0.3,1.2,2.3,0.516,0.49,0.5,1.0,0.488,0.5,2.0,2.5,0.9,0.4,0.2,0.7,1.3,4.1
532,Jeremy Sochan,PF,19,SAS,49,46,26.0,4.1,9.2,0.44799999999999995,0.6,2.3,0.261,3.6,7.0,0.509,0.48,1.3,1.9,0.695,1.7,3.2,4.9,2.5,0.7,0.4,1.7,2.5,10.2
570,Devin Vassell,SG,22,SAS,29,24,31.3,7.1,16.0,0.445,2.8,7.0,0.40399999999999997,4.3,9.0,0.47700000000000004,0.5329999999999999,2.4,3.0,0.7929999999999999,0.2,3.8,4.0,3.6,1.2,0.4,1.6,1.4,19.4
592,Blake Wesley,SG,19,SAS,17,1,13.9,1.7,4.6,0.37200000000000005,0.5,1.2,0.429,1.2,3.4,0.35100000000000003,0.429,0.5,0.9,0.6,0.2,1.4,1.5,1.5,0.4,0.1,1.4,1.9,4.5
