,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
285,Nickeil Alexander-Walker,SG,24,TOT,40,3,14.5,2.3,4.9,0.479,1.0,2.4,0.41200000000000003,1.3,2.4,0.546,0.5820000000000001,0.7,1.0,0.675,0.3,1.4,1.7,2.0,0.6,0.4,1.2,1.5,6.3
286,Ryan Arcidiacono,PG,28,TOT,14,1,4.9,0.3,1.0,0.28600000000000003,0.3,0.6,0.444,0.0,0.4,0.0,0.429,0.0,0.0,,0.0,0.7,0.7,0.6,0.1,0.0,0.2,0.4,0.9
287,Mo Bamba,C,24,TOT,43,6,16.9,2.6,5.3,0.485,1.0,2.7,0.385,1.5,2.6,0.591,0.584,0.9,1.4,0.6609999999999999,1.1,3.7,4.8,1.0,0.3,1.0,0.6,2.3,7.1
288,Malik Beasley,SG,26,TOT,60,16,26.6,4.8,12.2,0.396,3.1,8.6,0.359,1.7,3.6,0.484,0.523,0.6,0.8,0.787,0.5,3.1,3.5,1.7,0.9,0.1,1.1,1.5,13.4
289,Patrick Beverley,PG,34,TOT,47,47,26.8,2.1,5.3,0.39799999999999996,1.2,3.5,0.341,0.9,1.8,0.506,0.51,0.9,1.2,0.764,0.6,2.6,3.2,2.6,0.9,0.6,0.9,2.7,6.3
290,Saddiq Bey,SF,23,TOT,56,32,28.6,4.6,11.3,0.40700000000000003,2.0,5.5,0.358,2.6,5.8,0.45399999999999996,0.494,3.3,3.8,0.863,1.1,3.5,4.6,1.5,0.9,0.2,1.0,1.6,14.5
291,Goga Bitadze,C,23,TOT,22,0,9.6,1.3,2.5,0.527,0.2,0.7,0.33299999999999996,1.1,1.8,0.6,0.573,0.5,1.1,0.48,1.2,1.3,2.5,0.9,0.4,0.5,0.5,1.6,3.4
292,Mikal Bridges,SF,26,TOT,61,61,36.1,6.4,13.8,0.46799999999999997,1.9,4.7,0.395,4.6,9.1,0.505,0.535,2.9,3.2,0.899,1.0,3.4,4.5,3.5,1.2,0.8,1.4,2.0,17.7
293,Thomas Bryant,C,25,TOT,47,25,20.2,4.4,6.9,0.64,0.5,1.1,0.431,3.9,5.8,0.679,0.674,1.9,2.5,0.7390000000000001,1.6,4.9,6.4,0.6,0.3,0.6,0.7,1.8,11.1
294,Mike Conley,PG,35,TOT,48,47,29.8,3.5,8.7,0.406,1.8,5.0,0.361,1.7,3.7,0.466,0.51,1.7,2.1,0.812,0.4,2.0,2.5,7.5,1.0,0.2,1.7,2.1,10.5
