,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2,Clint Capela,C,28,ATL,45,43,26.6,5.4,8.7,0.624,0.0,0.0,0.0,5.4,8.7,0.626,0.624,1.1,1.9,0.593,4.2,7.0,11.2,0.8,0.7,1.2,0.8,2.2,12.0
5,Bruno Fernando,C,24,ATL,2,0,3.0,1.0,1.5,0.667,0.0,0.0,,1.0,1.5,0.667,0.667,0.0,0.0,,0.5,0.5,1.0,0.5,0.0,0.0,1.0,0.5,2.0
12,Frank Kaminsky,C,29,ATL,26,0,6.8,1.0,1.7,0.568,0.4,0.9,0.478,0.5,0.8,0.667,0.693,0.4,0.5,0.833,0.1,1.3,1.4,0.8,0.2,0.0,0.3,0.8,2.7
17,Blake Griffin,C,33,BOS,27,12,14.1,1.7,3.5,0.5,0.7,1.8,0.388,1.0,1.7,0.622,0.601,0.6,0.9,0.625,0.9,2.4,3.3,1.3,0.3,0.2,0.5,1.9,4.7
19,Al Horford,C,36,BOS,48,48,30.7,3.5,7.5,0.472,2.1,4.9,0.43,1.4,2.6,0.553,0.613,0.3,0.4,0.722,1.2,4.9,6.1,2.7,0.5,0.9,0.6,1.9,9.4
22,Luke Kornet,C,27,BOS,53,0,11.6,1.6,2.3,0.697,0.1,0.2,0.333,1.5,2.1,0.726,0.709,0.5,0.6,0.853,1.2,1.6,2.8,0.7,0.2,0.8,0.4,1.3,3.8
24,Nic Claxton,C,23,BRK,56,56,29.4,5.5,7.6,0.715,0.0,0.0,0.0,5.5,7.6,0.718,0.715,1.7,3.3,0.511,2.5,6.5,9.0,1.7,0.8,2.6,1.3,2.8,12.6
35,Tony Bradley,C,25,CHI,12,0,2.8,0.5,1.0,0.5,0.3,0.4,0.6,0.3,0.6,0.429,0.625,0.3,0.3,1.0,0.1,0.8,0.9,0.1,0.1,0.1,0.1,0.2,1.6
40,Andre Drummond,C,29,CHI,48,0,13.0,2.7,4.4,0.624,0.0,0.0,0.0,2.7,4.3,0.63,0.624,1.0,1.9,0.522,2.2,4.5,6.7,0.6,0.7,0.3,1.1,1.9,6.5
49,Kai Jones,C,22,CHO,29,0,8.9,1.1,2.1,0.533,0.1,0.4,0.273,1.0,1.7,0.592,0.558,0.3,0.5,0.714,0.7,1.2,1.9,0.2,0.3,0.4,0.3,1.1,2.7
