,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
34,Patrick Beverley,PG,34,CHI,2,2,24.0,1.0,4.0,0.25,0.5,3.0,0.167,0.5,1.0,0.5,0.313,1.5,2.5,0.6,1.0,4.0,5.0,2.5,0.0,0.5,1.0,2.5,4.0
35,Tony Bradley,C,25,CHI,12,0,2.8,0.5,1.0,0.5,0.3,0.4,0.6,0.3,0.6,0.429,0.625,0.3,0.3,1.0,0.1,0.8,0.9,0.1,0.1,0.1,0.1,0.2,1.6
36,Alex Caruso,PG,28,CHI,51,21,24.2,1.9,4.3,0.442,0.8,2.2,0.375,1.1,2.1,0.514,0.539,0.9,1.1,0.793,0.6,2.5,3.1,3.2,1.6,0.6,1.3,2.5,5.5
37,DeMar DeRozan,SF,33,CHI,55,55,36.1,9.1,17.9,0.51,0.5,1.6,0.307,8.7,16.3,0.529,0.523,6.5,7.4,0.881,0.4,4.2,4.6,5.1,1.0,0.5,2.2,2.7,25.3
38,Ayo Dosunmu,SG,23,CHI,59,49,28.3,3.8,7.7,0.494,0.8,2.6,0.318,3.0,5.1,0.583,0.547,0.9,1.1,0.806,0.7,2.4,3.1,2.8,0.7,0.3,1.4,2.5,9.3
39,Goran Dragić,PG,36,CHI,51,0,15.4,2.5,5.9,0.425,0.9,2.5,0.352,1.6,3.4,0.48,0.5,0.5,0.8,0.659,0.3,1.1,1.4,2.7,0.2,0.1,1.1,1.2,6.4
40,Andre Drummond,C,29,CHI,48,0,13.0,2.7,4.4,0.624,0.0,0.0,0.0,2.7,4.3,0.63,0.624,1.0,1.9,0.522,2.2,4.5,6.7,0.6,0.7,0.3,1.1,1.9,6.5
41,Javonte Green,SG,29,CHI,28,1,16.0,2.2,3.7,0.587,0.5,1.2,0.382,1.7,2.5,0.686,0.649,1.0,1.5,0.674,0.9,2.0,2.9,0.8,0.8,0.7,0.7,1.7,5.9
42,Malcolm Hill,SF,27,CHI,5,0,1.8,0.4,0.8,0.5,0.2,0.6,0.333,0.2,0.2,1.0,0.625,0.0,0.0,,0.0,0.6,0.6,0.0,0.0,0.0,0.0,0.2,1.0
43,Carlik Jones,PG,25,CHI,2,0,11.5,0.5,2.5,0.2,0.0,0.5,0.0,0.5,2.0,0.25,0.2,0.5,2.0,0.25,0.5,1.0,1.5,1.0,0.0,0.0,0.5,0.5,1.5
44,Derrick Jones Jr.,SF,25,CHI,48,0,14.7,1.8,3.6,0.506,0.4,1.1,0.327,1.5,2.5,0.588,0.557,1.1,1.4,0.794,1.0,1.5,2.5,0.6,0.5,0.6,0.4,1.4,5.2
45,Zach LaVine,SG,27,CHI,57,57,35.8,8.4,17.8,0.472,2.7,7.3,0.374,5.7,10.5,0.54,0.549,4.6,5.5,0.84,0.5,4.3,4.8,4.0,0.9,0.2,2.6,2.3,24.2
521,Marko Simonovic,C,23,CHI,3,0,1.7,0.0,0.3,0.0,0.0,0.3,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0
544,Terry Taylor,PF,23,CHI,1,0,4.0,2.0,2.0,1.0,0.0,0.0,,2.0,2.0,1.0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0
546,Dalen Terry,SG,20,CHI,25,0,5.1,0.7,1.6,0.45,0.2,0.6,0.333,0.5,1.0,0.52,0.513,0.2,0.4,0.5,0.3,0.5,0.8,0.6,0.2,0.2,0.2,0.4,1.8
573,Nikola Vucevic,C,32,CHI,61,61,33.9,7.3,14.1,0.514,1.6,4.6,0.349,5.7,9.5,0.595,0.571,1.6,1.9,0.822,2.1,9.4,11.5,3.3,0.7,0.8,1.7,2.2,17.8
596,Coby White,SG,22,CHI,53,1,22.4,3.2,7.5,0.423,1.6,4.6,0.355,1.5,2.9,0.529,0.531,0.9,1.0,0.836,0.2,2.5,2.7,2.0,0.7,0.1,0.8,1.7,8.9
608,Patrick Williams,PF,21,CHI,61,58,28.9,3.8,8.3,0.46,1.4,3.4,0.405,2.4,4.9,0.5,0.544,1.1,1.3,0.863,1.0,3.4,4.4,1.4,0.8,0.8,1.3,1.9,10.2
