,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
94,Patrick Baldwin Jr.,SF,20,GSW,19,0,8.8,1.9,4.2,0.45,1.5,3.3,0.468,0.4,0.9,0.389,0.631,0.2,0.3,0.667,0.1,1.5,1.5,0.2,0.3,0.1,0.4,0.4,5.5
95,Stephen Curry,PG,34,GSW,38,38,34.6,9.8,19.8,0.495,4.9,11.4,0.427,4.9,8.4,0.588,0.619,5.0,5.4,0.922,0.6,5.8,6.3,6.4,1.0,0.4,3.2,2.2,29.4
96,Donte DiVincenzo,SG,26,GSW,51,16,25.6,3.2,7.3,0.436,2.1,5.1,0.416,1.1,2.2,0.482,0.582,0.7,0.9,0.818,0.9,3.3,4.2,3.3,1.4,0.1,1.5,1.8,9.2
97,Draymond Green,PF,32,GSW,53,53,31.5,3.2,6.2,0.517,0.6,1.8,0.33,2.6,4.4,0.594,0.565,1.1,1.5,0.7,0.9,6.5,7.4,6.8,1.0,0.8,2.6,3.0,8.1
98,JaMychal Green,PF,32,GSW,41,1,14.7,2.4,4.6,0.516,0.7,2.0,0.349,1.7,2.6,0.645,0.592,0.9,1.2,0.714,1.3,2.6,3.9,1.0,0.5,0.3,1.1,2.0,6.3
99,Andre Iguodala,SF,39,GSW,3,0,14.0,1.0,1.3,0.75,0.3,0.7,0.5,0.7,0.7,1.0,0.875,0.0,0.0,,0.3,2.0,2.3,1.7,0.3,0.3,1.7,1.7,2.3
100,Ty Jerome,SG,25,GSW,39,2,18.4,2.9,5.6,0.509,0.8,2.0,0.41,2.1,3.6,0.563,0.582,0.9,0.9,0.919,0.2,1.5,1.7,2.9,0.5,0.1,0.7,1.5,7.4
101,Jonathan Kuminga,PF,20,GSW,49,11,19.7,3.3,6.8,0.485,0.7,2.1,0.327,2.6,4.7,0.557,0.536,1.3,1.9,0.66,0.9,2.2,3.1,1.9,0.5,0.4,1.5,2.3,8.5
102,Anthony Lamb,SF,25,GSW,46,3,19.7,2.5,5.2,0.494,1.3,3.4,0.387,1.2,1.8,0.695,0.62,0.7,0.9,0.721,0.9,2.5,3.4,1.7,0.5,0.3,1.0,2.4,7.1
347,Kevon Looney,C,26,GSW,61,54,23.5,2.9,4.4,0.659,0.0,0.0,,2.9,4.4,0.659,0.659,1.1,1.8,0.607,3.1,6.0,9.1,2.5,0.5,0.6,0.5,2.9,6.9
396,Moses Moody,SG,20,GSW,47,3,13.9,1.7,3.9,0.434,0.8,2.4,0.333,0.9,1.4,0.603,0.538,0.7,0.9,0.727,0.4,1.2,1.6,0.9,0.3,0.1,0.6,0.8,4.9
454,Jordan Poole,PG,23,GSW,61,38,30.7,7.0,16.1,0.432,2.6,8.0,0.33,4.4,8.2,0.532,0.514,4.1,4.7,0.862,0.4,2.4,2.8,4.6,0.8,0.2,3.3,2.7,20.7
492,Ryan Rollins,PG,20,GSW,12,0,5.2,0.6,1.7,0.35,0.3,0.8,0.333,0.3,0.9,0.364,0.425,0.5,0.5,1.0,0.3,0.8,1.0,0.5,0.1,0.1,1.3,0.8,1.9
549,Klay Thompson,SG,32,GSW,49,49,32.7,7.9,18.4,0.428,4.4,10.8,0.408,3.5,7.7,0.456,0.548,1.9,2.1,0.892,0.7,3.3,3.9,2.4,0.7,0.3,1.7,2.0,22.1
601,Andrew Wiggins,SF,27,GSW,37,37,32.2,6.8,14.3,0.473,2.4,6.1,0.396,4.4,8.2,0.53,0.557,1.2,1.9,0.611,1.6,3.4,5.0,2.3,1.2,0.8,1.3,2.9,17.1
615,James Wiseman,C,21,GSW,21,0,12.5,2.8,4.5,0.628,0.0,0.1,0.5,2.8,4.4,0.63,0.633,1.2,1.8,0.684,0.9,2.6,3.5,0.7,0.1,0.3,0.7,1.9,6.9
