,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
112,Goga Bitadze,C,23,IND,21,0,9.6,1.3,2.5,0.519,0.2,0.7,0.286,1.1,1.8,0.605,0.558,0.5,1.1,0.458,1.2,1.1,2.3,0.9,0.4,0.5,0.6,1.6,3.3
113,Oshae Brissett,SF,24,IND,49,1,16.0,1.7,4.5,0.388,0.8,2.4,0.333,0.9,2.1,0.451,0.477,1.2,1.8,0.693,0.9,2.5,3.4,0.5,0.6,0.2,0.4,1.3,5.5
114,Kendall Brown,SG,19,IND,6,0,6.7,0.7,1.2,0.571,0.0,0.2,0.0,0.7,1.0,0.667,0.571,0.2,0.3,0.5,0.3,0.7,1.0,0.5,0.7,0.0,0.3,1.5,1.5
115,Chris Duarte,SF,25,IND,38,10,19.1,2.6,7.2,0.364,1.1,3.8,0.301,1.5,3.4,0.434,0.443,1.5,1.8,0.836,0.4,2.1,2.4,1.4,0.5,0.2,0.9,1.5,7.8
116,Tyrese Haliburton,PG,22,IND,50,50,33.6,7.1,14.8,0.482,2.9,7.2,0.399,4.3,7.7,0.559,0.578,2.7,3.1,0.865,0.6,3.0,3.7,10.2,1.7,0.4,2.6,1.2,19.8
117,Buddy Hield,SF,30,IND,62,62,32.1,6.1,13.6,0.452,3.8,9.0,0.425,2.3,4.6,0.507,0.593,1.3,1.5,0.86,0.8,4.1,4.9,2.7,1.2,0.3,1.8,2.0,17.4
118,George Hill,PG,36,IND,1,0,10.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
119,Isaiah Jackson,C,21,IND,45,5,15.3,2.6,4.6,0.573,0.0,0.3,0.167,2.6,4.3,0.598,0.578,1.5,2.3,0.648,1.4,2.5,3.9,0.9,0.4,1.5,0.9,2.2,6.8
120,James Johnson,PF,35,IND,12,1,8.2,0.8,2.3,0.37,0.3,0.8,0.3,0.6,1.4,0.412,0.426,0.3,0.3,0.75,0.2,1.2,1.3,0.6,0.3,0.4,0.4,2.0,2.2
369,Bennedict Mathurin,SF,20,IND,62,6,28.3,5.5,12.7,0.43,1.4,4.3,0.325,4.1,8.4,0.485,0.485,4.9,5.9,0.828,1.1,3.0,4.1,1.5,0.6,0.1,1.8,2.1,17.3
374,T.J. McConnell,PG,30,IND,59,6,19.5,3.3,6.3,0.523,0.3,0.7,0.419,3.0,5.6,0.536,0.547,0.7,0.8,0.854,0.6,2.4,2.9,5.0,1.0,0.1,1.8,1.3,7.6
415,Andrew Nembhard,SG,23,IND,55,43,26.9,3.2,7.6,0.422,1.2,3.5,0.34,2.0,4.1,0.493,0.501,0.5,0.5,0.867,0.5,2.2,2.7,4.1,1.0,0.2,1.7,2.6,8.1
416,Aaron Nesmith,SF,23,IND,55,43,24.6,3.3,8.0,0.416,1.5,4.2,0.349,1.9,3.8,0.49,0.508,1.6,1.8,0.87,0.8,2.9,3.8,1.2,0.8,0.4,0.9,3.4,9.7
430,Jordan Nwora,SF,24,IND,4,0,16.5,3.3,7.8,0.419,1.0,3.5,0.286,2.3,4.3,0.529,0.484,0.3,0.8,0.333,0.5,3.5,4.0,2.3,0.8,0.0,0.8,0.5,7.8
467,Trevelin Queen,SG,25,IND,7,0,10.0,1.0,4.1,0.241,0.3,2.1,0.133,0.7,2.0,0.357,0.276,0.7,0.7,1.0,1.1,1.3,2.4,0.9,0.3,0.7,1.0,0.6,3.0
531,Jalen Smith,PF,22,IND,52,28,18.2,3.4,7.4,0.46,0.8,2.9,0.276,2.6,4.4,0.58,0.514,1.5,1.9,0.76,1.8,3.8,5.6,0.9,0.3,0.8,1.1,2.1,9.0
543,Terry Taylor,PF,23,IND,26,2,8.8,1.2,2.5,0.462,0.2,0.7,0.222,1.0,1.8,0.553,0.492,0.2,0.3,0.714,0.8,0.7,1.5,0.4,0.1,0.2,0.3,0.9,2.7
547,Daniel Theis,C,30,IND,7,1,15.6,3.0,6.3,0.477,0.3,1.6,0.182,2.7,4.7,0.576,0.5,0.7,1.7,0.417,1.0,2.1,3.1,1.3,0.3,0.9,0.4,1.0,7.0
563,Myles Turner,C,26,IND,52,52,29.9,6.5,11.9,0.545,1.7,4.2,0.402,4.8,7.7,0.623,0.616,3.5,4.4,0.787,1.6,6.4,8.0,1.3,0.6,2.3,1.7,3.3,18.1
