,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
145,Steven Adams,C,29,MEM,42,42,27.0,3.7,6.3,0.597,0.0,0.0,0.0,3.7,6.2,0.599,0.597,1.1,3.1,0.364,5.1,6.5,11.5,2.3,0.9,1.1,1.9,2.3,8.6
146,Santi Aldama,PF,22,MEM,56,18,22.0,3.3,7.0,0.474,1.4,3.7,0.364,2.0,3.3,0.601,0.571,1.4,1.9,0.729,1.0,3.6,4.6,1.2,0.7,0.7,0.7,1.9,9.4
147,Desmond Bane,SG,24,MEM,37,37,31.1,7.5,16.2,0.463,3.0,7.2,0.416,4.5,8.9,0.502,0.556,3.3,3.6,0.904,0.7,4.2,5.0,4.1,1.0,0.4,2.2,2.4,21.3
148,Dillon Brooks,SF,27,MEM,54,54,30.4,5.5,14.1,0.392,1.8,5.7,0.313,3.7,8.3,0.447,0.456,1.8,2.3,0.795,0.6,2.6,3.3,2.5,0.8,0.2,1.5,3.3,14.6
149,Kennedy Chandler,PG,20,MEM,25,0,9.0,1.1,2.7,0.397,0.1,0.6,0.143,1.0,2.2,0.463,0.412,0.2,0.4,0.455,0.3,1.0,1.2,1.9,0.4,0.2,0.6,0.5,2.4
150,Brandon Clarke,PF,26,MEM,53,8,19.9,4.2,6.4,0.661,0.0,0.1,0.167,4.2,6.3,0.67,0.662,1.8,2.5,0.722,1.6,4.0,5.6,1.3,0.6,0.7,1.0,2.4,10.3
151,Danny Green,SG,35,MEM,3,0,14.3,1.0,3.7,0.273,1.0,2.7,0.375,0.0,1.0,0.0,0.409,0.0,0.0,,0.3,1.0,1.3,0.7,0.3,0.0,1.0,2.0,3.0
152,Jaren Jackson Jr.,C,23,MEM,42,42,27.2,5.9,12.0,0.493,1.5,4.4,0.348,4.4,7.6,0.576,0.556,3.3,4.2,0.787,1.7,5.0,6.6,0.9,1.1,3.2,1.5,3.4,16.7
153,Tyus Jones,PG,26,MEM,59,9,22.9,3.7,8.5,0.432,1.5,3.9,0.377,2.2,4.6,0.478,0.518,1.0,1.2,0.806,0.4,1.8,2.2,4.6,1.0,0.1,0.9,0.4,9.8
154,Luke Kennard,SG,26,MEM,3,0,22.3,2.3,5.0,0.467,2.3,3.7,0.636,0.0,1.3,0.0,0.7,1.3,1.3,1.0,0.3,1.3,1.7,1.7,0.0,0.0,0.0,2.0,8.3
155,John Konchar,SG,26,MEM,51,22,22.1,2.2,5.0,0.439,1.0,2.8,0.366,1.2,2.2,0.531,0.541,0.5,0.5,0.852,0.9,3.8,4.7,1.4,1.0,0.3,0.6,1.5,5.9
156,Jake LaRavia,PF,21,MEM,31,0,12.5,1.1,2.8,0.391,0.7,2.0,0.333,0.4,0.8,0.542,0.511,0.2,0.3,0.778,0.5,1.4,1.9,0.7,0.4,0.1,0.6,1.5,3.1
346,Kenneth Lofton Jr.,PF,20,MEM,9,0,3.9,0.9,2.2,0.4,0.0,0.4,0.0,0.9,1.8,0.5,0.4,0.3,0.6,0.6,0.1,0.4,0.6,0.6,0.1,0.0,0.2,0.6,2.1
398,Ja Morant,PG,23,MEM,50,50,32.6,9.6,20.7,0.463,1.6,5.2,0.317,7.9,15.5,0.512,0.502,6.2,8.4,0.741,1.1,4.8,5.9,8.1,1.1,0.3,3.5,1.7,27.0
491,David Roddy,PF,21,MEM,48,1,17.4,2.4,5.7,0.421,0.8,2.9,0.292,1.6,2.8,0.551,0.495,0.6,1.0,0.625,0.6,2.0,2.6,0.6,0.5,0.3,0.9,1.5,6.3
554,Xavier Tillman Sr.,PF,24,MEM,40,9,15.4,2.3,3.7,0.612,0.1,0.3,0.3,2.2,3.4,0.635,0.622,0.8,1.5,0.517,1.8,2.3,4.1,1.2,0.8,0.4,0.6,1.3,5.4
610,Vince Williams Jr.,SG,22,MEM,9,0,5.4,0.3,1.4,0.231,0.1,1.0,0.111,0.2,0.4,0.5,0.269,0.0,0.0,,0.2,0.6,0.8,0.3,0.4,0.1,0.1,0.7,0.8
611,Ziaire Williams,SF,21,MEM,29,3,16.9,2.3,5.5,0.419,0.7,2.8,0.244,1.6,2.7,0.603,0.481,0.4,0.6,0.765,0.4,2.0,2.4,0.8,0.4,0.2,1.0,1.8,5.8
