,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
157,Bam Adebayo,C,25,MIA,57,57,35.0,8.4,15.7,0.536,0.0,0.2,0.083,8.4,15.5,0.543,0.537,4.4,5.5,0.8,2.6,7.2,9.8,3.2,1.2,0.8,2.5,2.8,21.2
158,Jamaree Bouyea,PG,23,MIA,4,0,16.3,1.5,3.3,0.462,0.5,1.3,0.4,1.0,2.0,0.5,0.538,0.3,0.5,0.5,0.3,1.0,1.3,1.0,1.0,0.5,1.0,1.3,3.8
159,Jimmy Butler,SF,33,MIA,47,47,33.4,7.2,14.0,0.518,0.5,1.7,0.321,6.7,12.3,0.544,0.537,6.9,8.2,0.844,2.2,3.7,5.9,5.1,2.0,0.3,1.7,1.3,21.9
160,Jamal Cain,SF,23,MIA,14,0,13.3,1.9,3.6,0.52,0.1,0.9,0.167,1.7,2.7,0.632,0.54,0.9,1.1,0.75,0.9,1.9,2.8,0.6,0.6,0.0,0.3,1.1,4.7
161,Dewayne Dedmon,C,33,MIA,30,0,11.7,2.1,4.3,0.496,0.4,1.2,0.297,1.8,3.1,0.576,0.539,1.1,1.5,0.727,0.9,2.7,3.6,0.5,0.2,0.5,0.6,2.0,5.7
162,Udonis Haslem,C,42,MIA,6,1,7.7,0.2,2.0,0.083,0.0,0.3,0.0,0.2,1.7,0.1,0.083,0.2,0.3,0.5,0.7,0.7,1.3,0.0,0.2,0.2,0.0,1.3,0.5
163,Tyler Herro,SG,23,MIA,48,48,35.4,7.4,17.1,0.432,3.0,8.2,0.371,4.4,8.9,0.488,0.521,2.6,2.9,0.92,0.5,5.2,5.7,4.3,0.9,0.3,2.4,1.7,20.5
164,Haywood Highsmith,SF,26,MIA,44,9,19.4,1.8,4.3,0.426,0.8,2.3,0.356,1.0,2.0,0.506,0.521,0.3,0.5,0.458,1.0,2.7,3.7,0.7,0.8,0.3,0.8,1.6,4.8
165,Nikola Jovic,PF,19,MIA,15,8,13.6,1.9,4.6,0.406,0.5,2.3,0.229,1.3,2.3,0.588,0.464,1.2,1.3,0.947,0.6,1.5,2.1,0.7,0.5,0.1,0.7,1.3,5.5
352,Kevin Love,PF,34,MIA,3,3,23.0,2.3,7.7,0.304,1.7,6.3,0.263,0.7,1.3,0.5,0.413,0.7,0.7,1.0,1.0,7.7,8.7,2.7,0.7,0.7,0.3,2.0,7.0
353,Kyle Lowry,PG,36,MIA,44,44,33.3,3.8,9.7,0.396,2.0,6.1,0.333,1.8,3.6,0.503,0.501,2.3,2.7,0.855,0.9,3.5,4.3,5.3,1.1,0.4,2.0,2.8,12.0
362,Caleb Martin,PF,27,MIA,52,49,30.1,3.8,8.3,0.453,1.3,3.6,0.362,2.4,4.7,0.525,0.533,1.3,1.6,0.774,1.3,3.8,5.2,1.6,1.0,0.4,1.1,2.1,10.1
437,Victor Oladipo,SG,30,MIA,29,1,27.6,3.8,9.6,0.396,1.4,4.7,0.292,2.4,4.9,0.496,0.468,1.5,2.0,0.754,0.4,2.9,3.3,3.7,1.6,0.2,1.9,2.4,10.4
486,Duncan Robinson,SF,28,MIA,31,0,17.7,2.2,6.1,0.356,1.6,4.9,0.32,0.6,1.1,0.514,0.487,0.6,0.7,0.909,0.3,1.6,1.9,1.2,0.4,0.0,0.7,2.0,6.5
488,Orlando Robinson,C,22,MIA,29,1,13.7,1.6,3.0,0.535,0.0,0.2,0.0,1.6,2.8,0.568,0.535,0.7,1.0,0.724,1.5,2.6,4.1,0.7,0.4,0.4,0.5,1.8,3.9
527,Dru Smith,SG,25,MIA,5,1,13.4,1.0,2.8,0.357,0.2,1.2,0.167,0.8,1.6,0.5,0.393,0.0,0.0,,0.2,1.6,1.8,1.0,0.8,0.6,0.2,2.0,2.2
536,Max Strus,SF,26,MIA,60,27,29.9,4.3,10.7,0.399,2.5,7.6,0.336,1.8,3.2,0.55,0.517,1.2,1.3,0.875,0.7,2.8,3.6,2.2,0.6,0.2,1.0,2.2,12.3
571,Gabe Vincent,PG,26,MIA,48,14,26.3,3.4,8.6,0.396,1.8,5.4,0.327,1.6,3.2,0.513,0.499,1.2,1.4,0.877,0.4,1.9,2.3,2.5,0.9,0.1,1.5,2.5,9.8
622,Cody Zeller,C,30,MIA,3,0,15.7,2.7,4.0,0.667,0.0,0.0,,2.7,4.0,0.667,0.667,1.0,2.0,0.5,1.7,1.0,2.7,1.0,0.3,1.0,0.7,3.0,6.3
