,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
166,Grayson Allen,SG,27,MIL,56,54,27.6,3.4,7.8,0.44,2.0,4.9,0.404,1.4,2.8,0.503,0.569,1.7,1.9,0.906,0.9,2.5,3.4,2.4,0.8,0.2,1.1,1.6,10.5
167,Giannis Antetokounmpo,PF,28,MIL,48,48,32.5,11.1,20.7,0.538,0.8,2.9,0.27,10.3,17.7,0.583,0.557,8.2,12.7,0.646,2.3,9.7,12.0,5.4,0.8,0.8,3.9,3.3,31.3
168,Thanasis Antetokounmpo,SF,30,MIL,26,0,4.1,0.2,0.8,0.25,0.0,0.2,0.0,0.2,0.6,0.313,0.25,0.2,0.3,0.5,0.3,0.7,1.0,0.2,0.1,0.1,0.3,0.5,0.5
169,MarJon Beauchamp,SF,22,MIL,39,9,14.6,2.1,5.2,0.396,1.0,3.1,0.319,1.1,2.1,0.506,0.49,0.5,0.7,0.724,0.9,1.5,2.4,0.7,0.5,0.1,0.9,1.5,5.6
170,Jevon Carter,PG,27,MIL,60,33,22.7,2.8,6.6,0.422,1.6,3.9,0.403,1.3,2.8,0.449,0.539,0.4,0.5,0.781,0.4,2.2,2.7,2.5,1.0,0.4,1.1,2.0,7.6
171,Pat Connaughton,SG,30,MIL,42,25,25.1,3.0,7.6,0.39,2.0,5.8,0.348,0.9,1.8,0.527,0.524,0.4,0.7,0.607,0.8,4.2,5.0,1.3,0.7,0.1,0.6,1.1,8.3
172,Jae Crowder,SF,32,MIL,2,0,20.5,2.5,4.0,0.625,2.0,2.5,0.8,0.5,1.5,0.333,0.875,1.0,2.0,0.5,0.5,2.5,3.0,1.0,1.0,0.0,1.0,2.5,8.0
173,A.J. Green,SG,23,MIL,27,0,9.7,1.6,3.6,0.449,1.3,3.0,0.427,0.3,0.6,0.563,0.628,0.1,0.1,1.0,0.1,0.9,1.1,0.6,0.2,0.0,0.3,1.0,4.7
174,George Hill,PG,36,MIL,35,0,19.1,1.7,3.8,0.447,0.7,2.1,0.311,1.0,1.7,0.621,0.534,1.0,1.3,0.739,0.4,1.5,1.9,2.5,0.5,0.1,0.8,1.2,5.0
175,Jrue Holiday,PG,32,MIL,49,47,33.0,7.5,16.0,0.469,2.5,6.4,0.384,5.0,9.6,0.526,0.546,2.4,2.8,0.859,1.2,4.0,5.2,7.1,1.3,0.4,3.0,1.9,19.8
176,Serge Ibaka,C,33,MIL,16,0,11.6,1.6,3.4,0.481,0.4,1.1,0.333,1.3,2.3,0.556,0.537,0.5,0.8,0.615,0.9,1.8,2.8,0.3,0.1,0.4,0.7,1.4,4.1
177,Joe Ingles,SF,35,MIL,27,0,22.6,2.1,5.4,0.381,1.4,4.3,0.336,0.6,1.1,0.548,0.514,0.4,0.6,0.8,0.3,2.6,2.9,3.0,0.6,0.1,1.1,1.7,6.0
178,Meyers Leonard,C,30,MIL,2,0,10.0,1.0,2.5,0.4,1.0,2.0,0.5,0.0,0.5,0.0,0.6,1.0,1.0,1.0,1.0,2.0,3.0,0.0,0.5,0.0,0.5,1.5,4.0
348,Brook Lopez,C,34,MIL,59,59,30.4,5.6,11.0,0.509,1.8,4.9,0.372,3.8,6.1,0.619,0.592,1.7,2.2,0.766,2.0,4.7,6.6,1.2,0.5,2.4,1.4,2.5,14.7
356,Sandro Mamukelashvili,C,23,MIL,24,0,9.0,0.8,2.4,0.328,0.3,1.3,0.219,0.5,1.1,0.462,0.388,0.5,0.8,0.667,0.8,1.6,2.3,0.7,0.2,0.2,0.4,0.8,2.4
370,Wesley Matthews,SG,36,MIL,39,0,15.6,1.0,3.0,0.331,0.8,2.4,0.326,0.2,0.6,0.348,0.462,0.4,0.5,0.85,0.8,1.5,2.2,0.5,0.4,0.3,0.4,1.4,3.2
386,Khris Middleton,SF,31,MIL,19,7,21.4,4.8,11.5,0.417,1.4,4.7,0.289,3.4,6.7,0.508,0.477,2.4,2.6,0.92,0.7,3.4,4.2,4.1,0.6,0.2,2.1,2.2,13.4
429,Jordan Nwora,SF,24,MIL,38,3,15.7,2.0,5.2,0.386,1.1,2.7,0.392,0.9,2.5,0.379,0.487,1.0,1.1,0.86,0.8,2.3,3.1,1.0,0.3,0.2,0.9,0.9,6.0
458,Bobby Portis,PF,27,MIL,49,15,26.6,5.9,11.9,0.501,1.2,3.6,0.339,4.7,8.3,0.57,0.552,1.3,1.6,0.844,2.6,7.4,10.0,1.8,0.4,0.2,1.2,1.7,14.4
