,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
3,John Collins,PF,25,ATL,51,51,31.0,5.2,10.2,0.508,0.8,3.2,0.256,4.4,7.0,0.624,0.548,2.0,2.5,0.813,1.1,5.9,7.0,1.2,0.7,1.2,1.2,3.2,13.2
18,Sam Hauser,PF,25,BOS,60,4,15.6,2.2,4.8,0.455,1.7,4.0,0.414,0.5,0.8,0.653,0.627,0.2,0.3,0.667,0.5,2.1,2.5,0.7,0.3,0.3,0.3,1.3,6.2
21,Mfiondu Kabengele,PF,25,BOS,2,0,7.0,0.5,1.0,0.5,0.0,0.5,0.0,0.5,0.5,1.0,0.5,0.0,0.0,,1.5,1.0,2.5,0.0,0.0,0.0,0.5,1.5,1.0
28,Kevin Durant,PF,34,BRK,39,39,36.0,10.5,18.8,0.559,1.8,4.8,0.376,8.7,14.0,0.622,0.607,6.8,7.3,0.934,0.4,6.4,6.7,5.3,0.8,1.5,3.5,2.4,29.7
30,Dorian Finney-Smith,PF,29,BRK,6,6,29.3,2.5,7.2,0.349,1.0,4.3,0.231,1.5,2.8,0.529,0.419,0.5,0.8,0.6,1.8,4.8,6.7,1.3,0.3,0.0,1.0,2.8,6.5
33,Cameron Johnson,PF,26,BRK,5,5,29.0,5.8,13.0,0.446,2.4,8.0,0.3,3.4,5.0,0.68,0.538,2.2,2.8,0.786,0.4,2.8,3.2,1.6,1.4,0.4,0.0,1.8,16.2
51,Mamadi Diakite,PF,26,CLE,16,2,6.1,0.7,1.6,0.423,0.3,0.9,0.267,0.4,0.7,0.636,0.5,0.0,0.0,,0.2,0.6,0.8,0.1,0.1,0.4,0.4,0.8,1.6
55,Dāvis Bertāns,PF,30,DAL,34,0,10.6,1.4,3.3,0.423,1.1,2.9,0.381,0.3,0.4,0.714,0.59,0.3,0.4,0.833,0.2,0.8,0.9,0.4,0.2,0.1,0.3,1.1,4.1
61,Dorian Finney-Smith,PF,29,DAL,40,40,32.2,3.2,7.8,0.416,1.9,5.4,0.355,1.3,2.3,0.559,0.54,0.8,1.0,0.75,1.7,3.0,4.7,1.5,1.0,0.5,0.9,2.0,9.1
73,Vlatko Cancar,PF,25,DEN,47,8,16.3,2.1,4.2,0.497,0.9,2.1,0.412,1.3,2.2,0.578,0.598,0.6,0.7,0.935,0.5,1.9,2.3,1.5,0.4,0.3,0.7,1.6,5.7
74,Aaron Gordon,PF,27,DEN,50,50,30.2,6.5,11.2,0.583,1.0,2.6,0.382,5.5,8.6,0.645,0.628,3.0,4.9,0.623,2.4,4.5,6.8,2.9,0.8,0.8,1.6,1.9,17.1
75,Jeff Green,PF,36,DEN,39,3,19.4,3.1,6.2,0.498,0.4,1.7,0.25,2.6,4.4,0.595,0.533,1.5,2.1,0.707,0.7,1.8,2.5,1.2,0.4,0.3,0.9,1.9,8.1
83,Bojan Bogdanovic,PF,33,DET,58,58,31.9,7.2,14.8,0.487,2.4,5.9,0.402,4.9,9.0,0.542,0.566,4.6,5.2,0.883,0.6,3.2,3.7,2.6,0.6,0.1,2.3,1.9,21.4
93,Kevin Knox,PF,23,DET,42,1,14.1,2.0,4.3,0.469,1.0,2.8,0.371,1.0,1.5,0.651,0.589,0.6,0.8,0.788,0.5,2.1,2.6,0.4,0.3,0.3,0.8,1.8,5.6
97,Draymond Green,PF,32,GSW,53,53,31.5,3.2,6.2,0.517,0.6,1.8,0.33,2.6,4.4,0.594,0.565,1.1,1.5,0.7,0.9,6.5,7.4,6.8,1.0,0.8,2.6,3.0,8.1
98,JaMychal Green,PF,32,GSW,41,1,14.7,2.4,4.6,0.516,0.7,2.0,0.349,1.7,2.6,0.645,0.592,0.9,1.2,0.714,1.3,2.6,3.9,1.0,0.5,0.3,1.1,2.0,6.3
101,Jonathan Kuminga,PF,20,GSW,49,11,19.7,3.3,6.8,0.485,0.7,2.1,0.327,2.6,4.7,0.557,0.536,1.3,1.9,0.66,0.9,2.2,3.1,1.9,0.5,0.4,1.5,2.3,8.5
104,Darius Days,PF,23,HOU,4,0,6.3,1.3,3.0,0.417,0.8,2.5,0.3,0.5,0.5,1.0,0.542,0.5,0.5,1.0,0.3,1.3,1.5,0.3,0.0,0.3,0.0,0.5,3.8
105,Tari Eason,PF,21,HOU,60,3,19.6,3.4,7.6,0.442,0.7,2.0,0.347,2.7,5.7,0.475,0.487,1.3,1.7,0.75,2.3,3.4,5.6,1.0,1.1,0.6,1.1,2.2,8.7
