,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
6,Trent Forrest,PG,24,ATL,18,3,13.3,1.3,2.8,0.48,0.0,0.1,0.0,1.3,2.7,0.5,0.48,0.1,0.2,0.667,0.3,1.3,1.6,1.7,0.3,0.1,0.6,0.9,2.8
8,Aaron Holiday,PG,26,ATL,51,5,14.3,1.5,3.7,0.415,0.6,1.5,0.413,0.9,2.2,0.416,0.497,0.5,0.5,0.857,0.4,0.9,1.3,1.3,0.5,0.2,0.6,1.3,4.1
13,Vit Krejci,PG,22,ATL,22,0,5.5,0.5,1.3,0.379,0.2,0.8,0.278,0.3,0.5,0.545,0.466,0.0,0.1,0.5,0.1,0.5,0.6,0.5,0.1,0.0,0.2,0.5,1.3
14,Malcolm Brogdon,PG,30,BOS,53,0,25.5,5.2,10.6,0.49,2.1,4.4,0.464,3.2,6.2,0.509,0.587,2.4,2.7,0.887,0.6,3.5,4.2,3.7,0.6,0.3,1.6,1.6,14.8
16,JD Davison,PG,20,BOS,6,0,2.3,0.3,1.3,0.25,0.0,0.5,0.0,0.3,0.8,0.4,0.25,0.0,0.0,,0.0,0.3,0.3,0.2,0.2,0.0,0.2,0.0,0.7
26,Spencer Dinwiddie,PG,29,BRK,6,6,34.0,4.7,12.3,0.378,1.7,5.8,0.286,3.0,6.5,0.462,0.446,4.5,5.2,0.871,0.2,3.7,3.8,5.7,1.0,0.0,2.0,2.5,15.5
32,Kyrie Irving,PG,30,BRK,40,40,37.0,10.0,20.5,0.486,3.3,8.7,0.374,6.7,11.8,0.569,0.565,4.0,4.5,0.883,1.0,4.2,5.1,5.3,1.0,0.8,2.3,2.7,27.1
34,Patrick Beverley,PG,34,CHI,2,2,24.0,1.0,4.0,0.25,0.5,3.0,0.167,0.5,1.0,0.5,0.313,1.5,2.5,0.6,1.0,4.0,5.0,2.5,0.0,0.5,1.0,2.5,4.0
36,Alex Caruso,PG,28,CHI,51,21,24.2,1.9,4.3,0.442,0.8,2.2,0.375,1.1,2.1,0.514,0.539,0.9,1.1,0.793,0.6,2.5,3.1,3.2,1.6,0.6,1.3,2.5,5.5
39,Goran Dragić,PG,36,CHI,51,0,15.4,2.5,5.9,0.425,0.9,2.5,0.352,1.6,3.4,0.48,0.5,0.5,0.8,0.659,0.3,1.1,1.4,2.7,0.2,0.1,1.1,1.2,6.4
43,Carlik Jones,PG,25,CHI,2,0,11.5,0.5,2.5,0.2,0.0,0.5,0.0,0.5,2.0,0.25,0.2,0.5,2.0,0.25,0.5,1.0,1.5,1.0,0.0,0.0,0.5,0.5,1.5
46,LaMelo Ball,PG,21,CHO,36,36,35.2,8.2,20.0,0.411,4.0,10.6,0.376,4.2,9.4,0.45,0.51,2.8,3.4,0.836,1.2,5.3,6.4,8.4,1.3,0.3,3.6,3.3,23.3
52,Darius Garland,PG,23,CLE,54,54,35.1,7.5,16.1,0.468,2.6,6.1,0.421,5.0,10.0,0.496,0.547,4.3,4.9,0.868,0.4,2.2,2.6,7.9,1.3,0.1,2.9,2.1,21.9
57,Facundo Campazzo,PG,31,DAL,8,0,6.5,0.4,1.6,0.231,0.4,1.4,0.273,0.0,0.3,0.0,0.346,0.1,0.3,0.5,0.0,0.3,0.3,1.1,0.8,0.0,0.4,0.4,1.3
58,Spencer Dinwiddie,PG,29,DAL,53,53,34.1,6.0,13.1,0.455,2.6,6.4,0.405,3.4,6.7,0.504,0.555,3.2,3.9,0.821,0.4,2.7,3.1,5.3,0.7,0.3,1.7,2.3,17.7
59,Luka Doncic,PG,23,DAL,52,52,36.4,11.2,22.1,0.504,2.7,7.8,0.35,8.4,14.3,0.589,0.566,8.0,11.0,0.732,0.9,7.9,8.8,8.1,1.5,0.5,3.7,2.6,33.1
66,Kyrie Irving,PG,30,DAL,6,6,36.8,9.3,18.3,0.509,3.3,8.2,0.408,6.0,10.2,0.59,0.6,4.2,4.2,1.0,1.5,3.7,5.2,6.5,1.0,0.5,2.3,3.2,26.2
76,Bones Hyland,PG,22,DEN,42,1,19.5,4.1,10.3,0.399,2.2,5.7,0.378,2.0,4.6,0.425,0.503,1.7,2.0,0.866,0.2,1.8,2.0,3.0,0.7,0.3,1.6,1.6,12.1
77,Reggie Jackson,PG,32,DEN,3,0,18.7,2.3,7.7,0.304,1.7,5.0,0.333,0.7,2.7,0.25,0.413,1.0,1.3,0.75,0.3,1.7,2.0,3.0,0.7,0.3,0.7,2.0,7.3
82,Buddy Boeheim,PG,23,DET,1,0,1.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
85,Cade Cunningham,PG,21,DET,12,12,33.3,7.8,18.7,0.415,1.4,5.1,0.279,6.3,13.6,0.466,0.453,3.0,3.6,0.837,1.0,5.2,6.2,6.0,0.8,0.6,3.3,2.8,19.9
88,R.J. Hampton,PG,21,DET,2,0,14.0,0.5,3.0,0.167,0.0,1.5,0.0,0.5,1.5,0.333,0.167,0.0,0.0,,0.0,2.5,2.5,0.5,1.0,0.5,0.5,0.5,1.0
89,Killian Hayes,PG,21,DET,58,39,27.1,3.8,10.2,0.369,1.2,3.8,0.3,2.6,6.3,0.41,0.426,0.8,1.0,0.817,0.3,2.4,2.7,5.9,1.3,0.4,2.0,3.0,9.5
91,Cory Joseph,PG,31,DET,43,2,16.0,1.7,4.4,0.388,0.6,2.0,0.314,1.1,2.4,0.451,0.46,0.7,0.9,0.769,0.2,1.1,1.3,3.2,0.4,0.1,0.7,1.5,4.7
95,Stephen Curry,PG,34,GSW,38,38,34.6,9.8,19.8,0.495,4.9,11.4,0.427,4.9,8.4,0.588,0.619,5.0,5.4,0.922,0.6,5.8,6.3,6.4,1.0,0.4,3.2,2.2,29.4
110,Trevor Hudgins,PG,23,HOU,5,0,5.6,0.4,1.8,0.222,0.4,1.6,0.25,0.0,0.2,0.0,0.333,0.6,0.6,1.0,0.0,0.0,0.0,0.6,0.0,0.0,0.2,0.2,1.8
116,Tyrese Haliburton,PG,22,IND,50,50,33.6,7.1,14.8,0.482,2.9,7.2,0.399,4.3,7.7,0.559,0.578,2.7,3.1,0.865,0.6,3.0,3.7,10.2,1.7,0.4,2.6,1.2,19.8
118,George Hill,PG,36,IND,1,0,10.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
129,Bones Hyland,PG,22,LAC,3,0,15.7,2.7,7.0,0.381,1.3,3.0,0.444,1.3,4.0,0.333,0.476,1.7,2.3,0.714,1.7,1.3,3.0,1.7,0.7,0.0,1.0,2.3,8.3
130,Reggie Jackson,PG,32,LAC,52,38,25.7,4.1,9.8,0.418,1.5,4.2,0.35,2.6,5.6,0.469,0.493,1.2,1.3,0.924,0.4,1.8,2.2,3.5,0.7,0.1,1.8,1.8,10.9
135,Patrick Beverley,PG,34,LAL,45,45,26.9,2.2,5.4,0.402,1.2,3.5,0.348,0.9,1.8,0.506,0.517,0.9,1.1,0.78,0.5,2.6,3.1,2.6,0.9,0.6,0.9,2.8,6.4
149,Kennedy Chandler,PG,20,MEM,25,0,9.0,1.1,2.7,0.397,0.1,0.6,0.143,1.0,2.2,0.463,0.412,0.2,0.4,0.455,0.3,1.0,1.2,1.9,0.4,0.2,0.6,0.5,2.4
153,Tyus Jones,PG,26,MEM,59,9,22.9,3.7,8.5,0.432,1.5,3.9,0.377,2.2,4.6,0.478,0.518,1.0,1.2,0.806,0.4,1.8,2.2,4.6,1.0,0.1,0.9,0.4,9.8
158,Jamaree Bouyea,PG,23,MIA,4,0,16.3,1.5,3.3,0.462,0.5,1.3,0.4,1.0,2.0,0.5,0.538,0.3,0.5,0.5,0.3,1.0,1.3,1.0,1.0,0.5,1.0,1.3,3.8
170,Jevon Carter,PG,27,MIL,60,33,22.7,2.8,6.6,0.422,1.6,3.9,0.403,1.3,2.8,0.449,0.539,0.4,0.5,0.781,0.4,2.2,2.7,2.5,1.0,0.4,1.1,2.0,7.6
