,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,Saddiq Bey,SF,23,ATL,4,2,24.8,3.3,7.0,0.464,2.5,4.3,0.588,0.8,2.8,0.273,0.643,0.8,0.8,1.0,1.3,3.3,4.5,0.5,0.5,0.3,1.0,1.3,9.8
7,AJ Griffin,SF,19,ATL,57,11,20.2,3.6,7.6,0.475,1.5,3.7,0.392,2.2,3.9,0.554,0.57,0.5,0.6,0.875,0.5,1.6,2.1,1.0,0.7,0.1,0.6,1.2,9.2
10,De'Andre Hunter,SF,25,ATL,51,51,31.7,5.6,12.2,0.46,1.6,4.3,0.367,4.0,7.8,0.511,0.525,2.9,3.5,0.83,0.6,3.7,4.3,1.4,0.5,0.2,1.2,3.0,15.6
11,Jalen Johnson,SF,21,ATL,57,6,14.3,2.0,4.2,0.479,0.4,1.4,0.284,1.6,2.8,0.579,0.527,0.7,1.1,0.661,0.7,3.1,3.8,0.9,0.5,0.5,0.5,1.4,5.2
15,Jaylen Brown,SF,26,BOS,50,50,35.7,9.9,20.3,0.486,2.5,7.5,0.336,7.4,12.8,0.574,0.548,4.3,5.5,0.777,1.3,5.8,7.0,3.2,1.1,0.4,3.1,2.7,26.5
20,Justin Jackson,SF,27,BOS,23,0,4.7,0.3,1.2,0.259,0.2,0.9,0.25,0.1,0.3,0.286,0.352,0.0,0.1,0.5,0.1,0.7,0.7,0.4,0.2,0.2,0.1,0.3,0.9
23,Mikal Bridges,SF,26,BRK,5,5,32.6,7.8,15.2,0.513,2.4,5.0,0.48,5.4,10.2,0.529,0.592,4.4,4.8,0.917,1.4,4.6,6.0,2.8,1.2,1.0,1.8,2.0,22.4
29,Kessler Edwards,SF,22,BRK,14,1,5.6,0.4,1.7,0.25,0.1,0.9,0.167,0.3,0.9,0.333,0.292,0.1,0.1,0.5,0.4,0.6,1.0,0.1,0.2,0.1,0.3,0.2,1.1
37,DeMar DeRozan,SF,33,CHI,55,55,36.1,9.1,17.9,0.51,0.5,1.6,0.307,8.7,16.3,0.529,0.523,6.5,7.4,0.881,0.4,4.2,4.6,5.1,1.0,0.5,2.2,2.7,25.3
42,Malcolm Hill,SF,27,CHI,5,0,1.8,0.4,0.8,0.5,0.2,0.6,0.333,0.2,0.2,1.0,0.625,0.0,0.0,,0.0,0.6,0.6,0.0,0.0,0.0,0.0,0.2,1.0
