,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Bogdan Bogdanovic ,SG,30,ATL,36,5,29.6,5.4,12.3,0.437,2.8,7.1,0.394,2.6,5.3,0.495,0.55,1.1,1.4,0.78,0.4,3.0,3.4,3.0,0.9,0.3,1.3,1.7,14.6
4,Jarrett Culver,SG,23,ATL,10,1,13.7,1.7,4.3,0.395,0.1,1.2,0.083,1.6,3.1,0.516,0.407,0.9,1.3,0.692,1.0,2.8,3.8,0.6,0.6,0.2,0.7,1.4,4.4
9,Justin Holiday,SG,33,ATL,28,0,14.7,1.7,4.5,0.384,1.1,3.1,0.345,0.6,1.4,0.474,0.504,0.0,0.0,,0.1,0.8,0.8,0.9,0.2,0.4,0.4,1.3,4.5
25,Seth Curry,SG,32,BRK,42,6,22.4,3.9,8.2,0.468,1.8,4.3,0.423,2.0,3.9,0.518,0.579,0.8,0.8,0.971,0.3,1.6,1.9,2.0,0.6,0.2,1.0,1.8,10.4
27,David Duke Jr.,SG,23,BRK,16,0,8.8,1.3,3.0,0.438,0.0,0.4,0.0,1.3,2.6,0.5,0.438,0.3,0.5,0.5,0.4,0.6,0.9,0.8,0.4,0.1,0.8,1.6,2.9
31,Joe Harris,SG,31,BRK,53,32,23.5,3.0,6.7,0.456,2.0,4.8,0.413,1.1,1.9,0.566,0.605,0.3,0.5,0.625,0.4,2.2,2.5,1.6,0.5,0.2,0.7,2.4,8.3
38,Ayo Dosunmu,SG,23,CHI,59,49,28.3,3.8,7.7,0.494,0.8,2.6,0.318,3.0,5.1,0.583,0.547,0.9,1.1,0.806,0.7,2.4,3.1,2.8,0.7,0.3,1.4,2.5,9.3
41,Javonte Green,SG,29,CHI,28,1,16.0,2.2,3.7,0.587,0.5,1.2,0.382,1.7,2.5,0.686,0.649,1.0,1.5,0.674,0.9,2.0,2.9,0.8,0.8,0.7,0.7,1.7,5.9
45,Zach LaVine,SG,27,CHI,57,57,35.8,8.4,17.8,0.472,2.7,7.3,0.374,5.7,10.5,0.54,0.549,4.6,5.5,0.84,0.5,4.3,4.8,4.0,0.9,0.2,2.6,2.3,24.2
47,James Bouknight,SG,22,CHO,26,0,13.6,1.5,4.7,0.328,0.6,2.5,0.25,0.9,2.2,0.414,0.393,0.6,0.8,0.682,0.2,1.8,2.0,1.1,0.5,0.2,0.7,1.1,4.3
53,Danny Green,SG,35,CLE,3,0,9.3,1.0,2.7,0.375,1.0,2.3,0.429,0.0,0.3,0.0,0.563,0.3,0.3,1.0,0.0,0.3,0.3,0.0,0.3,0.3,0.7,1.0,3.3
54,Caris LeVert,SG,28,CLE,58,26,30.0,4.2,10.1,0.411,1.5,4.2,0.36,2.7,5.9,0.446,0.485,1.8,2.5,0.72,0.7,3.2,3.9,4.0,0.8,0.2,1.6,2.2,11.6
60,Tyler Dorsey,SG,26,DAL,3,0,2.7,1.3,1.7,0.8,0.3,0.7,0.5,1.0,1.0,1.0,0.9,0.0,0.0,,0.3,0.3,0.7,0.0,0.0,0.0,0.0,0.0,3.0
62,Josh Green,SG,22,DAL,42,10,24.7,3.3,6.1,0.543,1.2,2.9,0.421,2.1,3.2,0.652,0.643,1.4,2.0,0.714,0.9,1.8,2.7,1.6,0.8,0.1,1.0,2.6,9.3
63,Tim Hardaway Jr.,SG,30,DAL,56,37,30.1,4.7,12.3,0.38,2.9,7.9,0.36,1.8,4.3,0.417,0.497,1.8,2.3,0.756,0.3,3.3,3.6,1.7,0.7,0.1,0.9,1.6,13.9
64,Jaden Hardy,SG,20,DAL,32,0,11.6,2.2,5.1,0.423,0.8,2.3,0.342,1.4,2.8,0.489,0.5,1.3,1.5,0.875,0.1,1.3,1.3,0.8,0.3,0.1,0.8,1.3,6.4
65,Justin Holiday,SG,33,DAL,2,1,25.0,3.5,6.0,0.583,3.5,5.5,0.636,0.0,0.5,0.0,0.875,0.0,0.0,,0.0,1.0,1.0,1.0,1.0,1.5,0.0,2.5,10.5
68,A.J. Lawson,SG,22,DAL,12,0,5.1,1.0,2.1,0.48,0.6,1.3,0.438,0.4,0.8,0.556,0.62,0.1,0.3,0.333,0.2,0.6,0.8,0.1,0.1,0.0,0.1,0.6,2.7
69,Christian Braun,SG,21,DEN,57,3,15.2,1.8,3.5,0.5,0.4,1.1,0.391,1.3,2.4,0.551,0.563,0.4,0.7,0.585,0.7,1.7,2.4,0.8,0.5,0.2,0.5,1.2,4.4
70,Bruce Brown,SG,26,DEN,61,28,28.6,4.4,9.0,0.485,1.3,3.4,0.38,3.1,5.6,0.55,0.557,1.1,1.5,0.722,0.7,3.2,3.9,3.6,1.0,0.6,1.6,2.4,11.1
72,Kentavious Caldwell-Pope,SG,29,DEN,59,59,31.5,4.1,8.5,0.48,1.9,4.3,0.452,2.1,4.2,0.508,0.594,1.4,1.6,0.842,0.5,2.4,2.9,2.3,1.4,0.5,1.2,2.1,11.4
84,Alec Burks,SG,31,DET,49,7,22.1,4.0,9.0,0.441,1.9,4.6,0.42,2.0,4.4,0.463,0.548,3.0,3.7,0.816,0.4,2.7,3.0,2.2,0.7,0.1,1.1,1.9,12.8
86,Hamidou Diallo,SG,24,DET,53,0,17.2,3.7,6.4,0.581,0.1,0.4,0.263,3.6,6.0,0.6,0.588,1.5,2.6,0.591,1.0,2.4,3.4,0.9,1.0,0.3,1.2,2.2,9.1
90,Jaden Ivey,SG,20,DET,57,56,30.1,5.2,12.4,0.42,1.4,4.2,0.336,3.8,8.2,0.464,0.477,3.5,4.8,0.725,1.0,2.9,3.9,4.7,0.9,0.3,2.8,3.1,15.3
96,Donte DiVincenzo,SG,26,GSW,51,16,25.6,3.2,7.3,0.436,2.1,5.1,0.416,1.1,2.2,0.482,0.582,0.7,0.9,0.818,0.9,3.3,4.2,3.3,1.4,0.1,1.5,1.8,9.2
100,Ty Jerome,SG,25,GSW,39,2,18.4,2.9,5.6,0.509,0.8,2.0,0.41,2.1,3.6,0.563,0.582,0.9,0.9,0.919,0.2,1.5,1.7,2.9,0.5,0.1,0.7,1.5,7.4
103,Josh Christopher,SG,21,HOU,42,1,10.4,1.9,4.2,0.46,0.3,1.2,0.245,1.6,3.0,0.543,0.494,0.6,0.9,0.73,0.3,0.8,1.1,0.9,0.4,0.2,0.9,0.8,4.8
108,Eric Gordon,SG,34,HOU,47,47,30.2,4.5,10.2,0.439,1.8,5.2,0.347,2.7,5.0,0.536,0.528,2.3,2.9,0.815,0.3,1.8,2.1,2.9,0.6,0.4,1.8,1.0,13.1
109,Jalen Green,SG,20,HOU,54,54,33.9,7.3,17.8,0.409,2.5,7.6,0.333,4.7,10.1,0.467,0.481,4.7,5.9,0.788,0.6,3.4,4.0,3.6,0.8,0.2,2.9,1.7,21.8
