,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
273,Precious Achiuwa,C,23,TOR,38,11,23.3,3.9,8.1,0.482,0.5,2.0,0.26,3.4,6.1,0.557,0.515,1.9,2.8,0.689,2.0,4.6,6.6,1.0,0.6,0.7,1.2,2.1,10.2
274,OG Anunoby,SF,25,TOR,48,48,35.8,6.1,13.4,0.453,1.8,5.1,0.356,4.3,8.3,0.514,0.522,2.4,2.9,0.825,1.4,3.9,5.4,2.0,2.0,0.8,2.1,3.0,16.4
275,Dalano Banton,PG,23,TOR,27,2,9.3,1.7,4.1,0.411,0.5,1.7,0.283,1.2,2.4,0.5,0.469,0.6,0.7,0.789,0.3,1.0,1.3,1.1,0.5,0.4,0.6,1.1,4.4
276,Scottie Barnes,PF,21,TOR,59,58,35.3,6.0,13.3,0.453,0.9,3.1,0.301,5.1,10.2,0.499,0.488,2.6,3.4,0.769,2.3,4.7,7.0,4.8,1.0,0.9,2.1,2.2,15.5
277,Khem Birch,C,30,TOR,20,0,8.1,1.0,1.6,0.594,0.1,0.1,0.5,0.9,1.5,0.6,0.609,0.2,0.3,0.8,0.4,0.9,1.3,0.4,0.3,0.3,0.4,1.2,2.2
278,Chris Boucher,PF,30,TOR,56,0,20.8,3.5,7.2,0.489,0.8,2.6,0.315,2.7,4.6,0.585,0.545,1.9,2.5,0.739,2.2,3.7,5.9,0.4,0.7,0.9,0.5,2.0,9.7
279,Justin Champagnie,SF,21,TOR,3,0,3.7,1.0,1.0,1.0,0.0,0.0,,1.0,1.0,1.0,1.0,0.0,0.0,,0.3,1.0,1.3,0.3,0.0,0.0,0.0,0.3,2.0
280,Jeff Dowtin,PG,25,TOR,18,0,8.8,1.1,2.4,0.442,0.2,0.6,0.273,0.9,1.8,0.5,0.477,0.2,0.2,0.75,0.3,0.6,0.9,0.9,0.2,0.1,0.3,0.6,2.4
281,Malachi Flynn,PG,24,TOR,43,1,13.7,1.7,4.7,0.37,1.0,2.6,0.378,0.7,2.1,0.36,0.475,0.4,0.6,0.708,0.3,1.2,1.5,1.5,0.4,0.1,0.4,1.3,4.8
282,Ron Harper Jr.,SF,22,TOR,4,0,3.5,1.0,1.8,0.571,0.5,1.0,0.5,0.5,0.8,0.667,0.714,0.0,0.0,,0.3,0.3,0.5,0.0,0.0,0.0,0.0,0.0,2.5
283,Juancho Hernangomez ,PF,27,TOR,42,10,14.6,1.1,2.7,0.421,0.4,1.6,0.254,0.7,1.1,0.66,0.496,0.2,0.4,0.563,0.6,2.3,2.9,0.6,0.4,0.1,0.4,1.0,2.9
284,Christian Koloko,C,22,TOR,46,19,14.4,1.3,2.7,0.484,0.0,0.2,0.111,1.3,2.5,0.513,0.488,0.8,1.2,0.66,1.5,1.7,3.2,0.5,0.3,1.0,0.4,2.4,3.4
452,Jakob Poeltl,C,27,TOR,6,5,27.2,6.2,8.2,0.755,0.0,0.0,,6.2,8.2,0.755,0.755,1.8,3.8,0.478,3.5,6.3,9.8,2.3,1.7,2.0,0.8,3.7,14.2
457,Otto Porter Jr.,SF,29,TOR,8,2,18.3,1.9,3.8,0.5,0.8,2.1,0.353,1.1,1.6,0.692,0.6,1.0,1.0,1.0,0.8,1.6,2.4,1.0,1.4,0.0,0.5,0.9,5.5
518,Pascal Siakam,C,28,TOR,52,52,37.5,9.1,19.0,0.479,1.4,4.1,0.349,7.6,14.8,0.515,0.517,5.7,7.5,0.768,1.8,5.9,7.7,6.1,0.8,0.6,2.5,3.3,25.3
561,Gary Trent Jr.,SG,24,TOR,53,43,33.6,6.5,14.9,0.434,2.6,7.2,0.366,3.8,7.6,0.499,0.523,2.9,3.4,0.84,0.4,2.1,2.5,1.6,1.6,0.3,0.9,1.7,18.4
569,Fred VanVleet,PG,28,TOR,50,50,36.9,6.4,16.3,0.394,3.0,8.7,0.344,3.4,7.6,0.451,0.486,3.8,4.3,0.893,0.5,3.8,4.3,6.6,1.6,0.6,1.9,2.9,19.7
599,Joe Wieskamp,SF,23,TOR,3,0,8.0,1.0,2.7,0.375,1.0,2.3,0.429,0.0,0.3,0.0,0.563,0.0,0.0,,0.0,0.7,0.7,0.3,0.0,0.0,0.3,0.3,3.0
620,Thaddeus Young,PF,34,TOR,49,9,15.5,2.1,3.8,0.562,0.1,0.6,0.161,2.0,3.1,0.643,0.576,0.4,0.5,0.692,1.4,1.8,3.2,1.4,1.1,0.1,0.8,1.8,4.7
