,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
317,Ochai Agbaji,SG,22,UTA,39,2,15.6,1.8,3.8,0.483,0.9,2.3,0.396,0.9,1.5,0.621,0.604,0.4,0.6,0.682,0.7,1.1,1.8,0.6,0.2,0.1,0.3,1.4,5.0
318,Nickeil Alexander-Walker,SG,24,UTA,36,3,14.7,2.3,4.7,0.488,1.0,2.4,0.402,1.3,2.3,0.578,0.591,0.8,1.1,0.692,0.2,1.4,1.6,2.1,0.7,0.4,1.3,1.6,6.3
319,Udoka Azubuike,C,23,UTA,25,0,5.8,0.9,1.1,0.852,0.0,0.0,,0.9,1.1,0.852,0.852,0.1,0.2,0.333,0.6,1.6,2.2,0.2,0.2,0.2,0.4,0.5,1.9
320,Malik Beasley,SG,26,UTA,55,13,26.8,4.8,12.2,0.396,3.1,8.6,0.359,1.7,3.6,0.485,0.522,0.7,0.8,0.841,0.5,3.1,3.6,1.7,0.8,0.1,1.1,1.4,13.4
321,Leandro Bolmaro,SG,22,UTA,14,0,4.9,0.2,1.4,0.15,0.0,0.3,0.0,0.2,1.1,0.188,0.15,0.0,0.0,,0.3,0.2,0.5,0.5,0.2,0.1,0.5,0.7,0.4
322,Jordan Clarkson,SG,30,UTA,60,60,32.6,7.5,16.9,0.445,2.6,7.6,0.341,5.0,9.4,0.528,0.521,3.2,4.0,0.819,1.2,2.9,4.0,4.3,0.5,0.2,3.1,2.0,20.9
323,Mike Conley,PG,35,UTA,43,42,29.7,3.6,8.7,0.408,1.8,5.0,0.362,1.8,3.8,0.469,0.511,1.8,2.2,0.813,0.4,2.1,2.5,7.7,1.0,0.2,1.7,2.2,10.7
324,Kris Dunn,PG,28,UTA,2,0,20.0,6.0,11.5,0.522,1.0,3.5,0.286,5.0,8.0,0.625,0.565,0.0,1.0,0.0,1.5,2.5,4.0,4.5,1.5,0.5,0.5,3.0,13.0
325,Simone Fontecchio,SF,27,UTA,33,0,9.9,1.3,3.6,0.35,0.8,2.5,0.305,0.5,1.2,0.447,0.454,0.5,0.7,0.773,0.5,0.6,1.1,0.5,0.2,0.2,0.5,1.0,3.8
326,Rudy Gay,PF,36,UTA,46,0,14.5,1.8,4.8,0.378,0.5,2.2,0.232,1.3,2.7,0.496,0.43,0.7,0.8,0.857,0.6,2.3,2.9,0.9,0.3,0.3,0.6,1.2,4.8
327,Talen Horton-Tucker,SG,22,UTA,48,3,17.1,2.8,7.1,0.4,0.7,2.7,0.266,2.1,4.4,0.481,0.45,1.4,1.9,0.753,0.5,2.2,2.6,3.0,0.6,0.5,1.4,1.6,7.8
328,Damian Jones,C,27,UTA,2,0,10.5,1.5,2.0,0.75,0.0,0.0,,1.5,2.0,0.75,0.75,0.5,1.0,0.5,1.0,2.5,3.5,0.5,0.0,1.0,0.5,2.0,3.5
329,Walker Kessler,C,21,UTA,59,25,21.6,3.6,5.0,0.712,0.0,0.0,1.0,3.5,5.0,0.711,0.714,1.1,2.0,0.534,2.9,5.0,7.9,0.8,0.4,2.2,0.8,2.2,8.2
360,Lauri Markkanen,SF,25,UTA,56,56,34.4,8.5,16.6,0.513,3.0,7.4,0.408,5.5,9.2,0.599,0.605,5.1,5.8,0.883,1.8,6.7,8.5,1.8,0.6,0.6,1.9,2.1,25.2
438,Kelly Olynyk,C,31,UTA,50,50,28.2,4.0,8.1,0.495,1.5,3.6,0.41,2.6,4.6,0.561,0.585,2.6,3.0,0.842,1.3,4.1,5.4,3.3,1.0,0.6,2.2,3.8,12.1
460,Micah Potter,PF,24,UTA,3,0,4.7,0.7,0.7,1.0,0.0,0.0,,0.7,0.7,1.0,1.0,0.0,0.0,,0.3,0.7,1.0,0.7,0.0,0.0,0.0,0.7,1.3
514,Collin Sexton,SG,24,UTA,47,15,24.0,4.9,9.7,0.507,1.0,2.5,0.41,3.9,7.2,0.54,0.559,3.4,4.2,0.822,0.8,1.4,2.2,2.9,0.6,0.1,1.8,2.3,14.3
559,Juan Toscano-Anderson,SF,29,UTA,3,0,16.7,1.0,2.7,0.375,0.3,1.0,0.333,0.7,1.7,0.4,0.438,0.0,0.0,,0.7,4.3,5.0,1.3,0.7,0.3,1.0,2.0,2.3
567,Jarred Vanderbilt,PF,23,UTA,52,41,24.1,3.3,6.0,0.556,0.4,1.1,0.333,3.0,4.9,0.606,0.587,1.3,2.0,0.657,2.3,5.5,7.9,2.7,1.0,0.3,1.3,2.6,8.3
