,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
330,Deni Avdija,SF,22,WAS,58,33,26.3,3.3,7.4,0.439,0.9,3.1,0.294,2.4,4.4,0.539,0.499,1.7,2.2,0.752,1.0,5.2,6.2,2.6,0.9,0.5,1.5,2.9,9.1
331,Will Barton,SG,32,WAS,40,0,19.6,2.8,7.1,0.387,1.3,3.4,0.38,1.5,3.7,0.395,0.479,0.9,1.1,0.778,0.3,2.5,2.8,2.4,0.4,0.3,1.1,1.0,7.7
332,Bradley Beal,SG,29,WAS,38,38,33.0,8.7,16.8,0.515,1.7,4.6,0.371,6.9,12.2,0.569,0.566,3.7,4.4,0.839,0.8,2.8,3.6,5.3,0.9,0.7,2.8,1.9,22.7
333,Vernon Carey Jr.,C,21,WAS,11,0,2.5,0.2,0.7,0.25,0.0,0.0,,0.2,0.7,0.25,0.25,0.2,0.2,1.0,0.3,0.7,1.0,0.3,0.2,0.2,0.2,0.5,0.5
334,Johnny Davis,SG,20,WAS,13,0,4.8,0.5,1.4,0.333,0.1,0.3,0.25,0.4,1.1,0.357,0.361,0.2,0.2,1.0,0.1,0.5,0.6,0.2,0.1,0.1,0.2,1.0,1.2
335,Devon Dotson,PG,23,WAS,6,0,8.8,0.2,1.7,0.1,0.2,0.7,0.25,0.0,1.0,0.0,0.15,0.0,0.0,,1.0,0.7,1.7,1.3,0.8,0.0,0.5,1.5,0.5
336,Daniel Gafford,C,24,WAS,58,27,18.8,3.4,4.6,0.747,0.0,0.0,,3.4,4.6,0.747,0.747,1.6,2.4,0.641,2.0,3.4,5.3,0.9,0.4,1.3,1.0,2.3,8.4
337,Taj Gibson,C,37,WAS,38,2,10.0,1.4,2.6,0.535,0.1,0.4,0.235,1.3,2.2,0.598,0.556,0.6,0.9,0.676,0.7,1.3,2.0,0.8,0.3,0.3,0.5,1.9,3.5
338,Anthony Gill,PF,30,WAS,42,4,10.0,1.2,2.0,0.607,0.1,0.5,0.158,1.1,1.5,0.738,0.625,0.6,0.8,0.771,0.5,0.8,1.4,0.5,0.1,0.2,0.2,1.2,3.1
339,Jordan Goodwin,PG,24,WAS,41,4,18.1,2.4,5.3,0.449,0.6,1.7,0.382,1.7,3.6,0.48,0.509,0.8,1.1,0.75,0.9,2.4,3.3,2.5,1.0,0.5,0.9,1.7,6.2
340,Rui Hachimura,PF,24,WAS,30,0,24.3,5.3,10.8,0.488,1.0,3.0,0.337,4.3,7.8,0.545,0.534,1.5,1.9,0.759,0.6,3.6,4.3,1.2,0.4,0.4,1.2,1.3,13.0
341,Quenton Jackson,PG,24,WAS,3,0,2.7,0.7,1.0,0.667,0.3,0.7,0.5,0.3,0.3,1.0,0.833,0.0,0.0,,0.3,0.0,0.3,0.3,0.0,0.0,0.0,0.3,1.7
342,Corey Kispert,SF,23,WAS,52,32,27.0,3.3,6.8,0.476,1.8,4.5,0.408,1.4,2.3,0.607,0.61,1.0,1.1,0.864,0.4,2.3,2.7,1.2,0.6,0.1,0.8,1.3,9.3
343,Kyle Kuzma,PF,27,WAS,55,55,35.1,8.0,18.0,0.447,2.5,7.7,0.331,5.5,10.3,0.534,0.518,2.6,3.6,0.717,0.9,6.5,7.5,3.9,0.5,0.5,3.0,2.4,21.2
403,Monte Morris,PG,27,WAS,51,51,28.1,4.0,8.2,0.483,1.4,3.3,0.406,2.6,4.9,0.536,0.565,1.1,1.3,0.806,0.4,3.0,3.4,5.3,0.7,0.2,1.0,1.4,10.4
426,Kendrick Nunn,PG,27,WAS,13,0,17.5,3.1,6.7,0.46,1.2,3.1,0.375,1.9,3.6,0.532,0.546,0.7,0.8,0.9,0.5,1.5,2.0,2.5,0.6,0.0,1.2,1.1,8.0
459,Kristaps Porzingis,C,27,WAS,51,51,32.6,7.4,15.2,0.487,2.1,5.5,0.376,5.3,9.7,0.549,0.555,5.9,7.0,0.846,1.9,6.7,8.6,2.5,0.9,1.5,2.2,3.1,22.8
509,Jordan Schakel,SF,24,WAS,2,0,3.0,0.5,1.0,0.5,0.5,0.5,1.0,0.0,0.5,0.0,0.75,0.0,0.0,,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.5,1.5
555,Isaiah Todd,PF,21,WAS,4,0,3.3,0.3,1.0,0.25,0.0,0.8,0.0,0.3,0.3,1.0,0.25,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5
618,Delon Wright,PG,30,WAS,31,3,22.6,2.5,5.3,0.467,0.9,2.4,0.36,1.6,2.9,0.556,0.548,0.9,1.0,0.903,1.1,2.1,3.2,3.5,1.9,0.3,1.0,1.3,6.7
